Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit,CurrentCapital
2017-09-05,open,0,long,237.86333333333334,29,6898.036666666667,,8101.963333333333
2017-09-06,open,1,long,235.60546666666667,17,4005.2929333333336,,4096.670399999999
2017-09-08,open,2,short,237.79333333333332,6,1426.76,,5523.430399999999
2017-09-11,close,0,long,240.58333333333334,29,,0.011435137824240826,12500.347066666665
2017-09-12,close,1,long,240.41246666666666,17,,0.020402752397935202,16587.358999999997
2017-09-14,open,3,short,244.4466666666667,37,9044.526666666667,,25631.88566666666
2017-09-15,open,4,short,248.38666666666666,66,16393.52,,42025.40566666666
2017-09-18,close,2,short,251.92583333333334,6,,-84.79500000000007,40513.85066666666
2017-09-18,open,5,short,251.92583333333334,36,9069.33,,49583.18066666666
2017-09-25,close,4,short,254.26333333333332,66,,-387.85999999999694,32801.80066666666
2017-09-25,open,6,long,254.26333333333332,23,5848.056666666666,,26953.743999999995
2017-09-28,close,5,short,253.74666666666667,36,,-65.55000000000109,17818.863999999994
2017-10-05,close,6,long,257.55333333333334,23,,0.0129393411030559,23742.59066666666
2017-10-05,open,7,short,257.55333333333334,26,6696.386666666667,,30438.97733333333
2017-10-20,open,8,short,263.00573333333335,26,6838.149066666667,,37277.126399999994
2017-10-25,close,8,short,259.6333333333333,26,,87.6824000000006,30526.659733333327
2017-10-25,open,9,long,259.6333333333333,49,12722.033333333333,,17804.626399999994
2017-10-27,open,10,long,257.2531333333333,2,514.5062666666666,,17290.120133333327
2017-11-02,close,10,long,261.29,2,,0.015692196298483816,17812.70013333333
2017-11-02,open,11,short,261.29,2,522.58,,18335.28013333333
2017-11-06,close,9,long,264.14756666666665,49,,0.017386955963538283,31278.510899999994
2017-11-09,open,12,long,263.0042,21,5523.0882,,25755.422699999996
2017-11-21,close,12,long,266.23333333333335,21,,0.012277877438205749,31346.322699999997
2017-11-30,open,13,short,274.42333333333335,31,8507.123333333333,,39853.446033333326
2017-12-01,open,14,long,273.57,30,8207.1,,31646.346033333328
2017-12-04,close,14,long,278.59999999999997,30,,0.018386518989655033,40004.34603333333
2017-12-04,open,15,short,278.59999999999997,35,9750.999999999998,,49755.34603333333
2017-12-05,open,16,long,276.61333333333334,18,4979.04,,44776.30603333333
2017-12-07,close,16,long,281.52,18,,0.017738359201773777,49843.66603333333
2017-12-07,open,17,short,281.52,27,7601.039999999999,,57444.70603333333
2017-12-08,open,18,short,285.5933333333333,28,7996.613333333333,,65441.31936666666
2017-12-11,open,19,long,283.18333333333334,26,7362.766666666666,,58078.5527
2017-12-12,close,19,long,290.15333333333336,26,,0.024613030427873737,65622.53936666666
2017-12-12,open,20,short,290.15333333333336,35,10155.366666666669,,75777.90603333333
2017-12-14,close,15,short,294.43333333333334,35,,-554.1666666666679,65472.73936666666
2017-12-18,close,18,short,295.93333333333334,28,,-289.52000000000044,57186.60603333332
2017-12-21,open,21,long,295.84843333333333,31,9171.301433333334,,48015.30459999999
2017-12-22,close,20,short,294.87666666666667,35,,-165.31666666666388,37694.621266666654
2018-01-05,close,21,long,304.81666666666666,31,,0.03031360765473023,47143.93793333332
2018-01-05,open,22,short,304.81666666666666,35,10668.583333333334,,57812.521266666656
2018-01-08,open,23,short,308.92,23,7105.160000000001,,64917.68126666666
2018-01-09,open,24,short,316.2766666666667,31,9804.576666666668,,74722.25793333333
2018-01-11,open,25,short,325.90333333333336,24,7821.68,,82543.93793333333
2018-01-12,open,26,short,334.48999999999995,34,11372.659999999998,,93916.59793333334
2018-01-17,open,27,short,346.55,48,16634.4,,110550.99793333333
2018-01-18,close,23,short,343.37999999999994,23,,-792.5799999999981,102653.25793333333
2018-01-18,open,28,long,343.37999999999994,45,15452.099999999997,,87201.15793333334
2018-01-19,close,24,short,339.16,31,,-709.3833333333332,76687.19793333334
2018-01-19,close,27,short,339.16,48,,354.72000000000116,60407.51793333334
2018-01-22,close,26,short,337.1404,34,,-90.1136000000024,48944.74433333334
2018-01-31,close,28,long,355.65333333333336,45,,0.03574271458248425,64949.144333333345
2018-01-31,open,33,short,355.65333333333336,53,18849.626666666667,,83798.77100000001
2018-02-02,close,33,short,350.9363333333333,53,,250.0010000000002,65199.14533333335
2018-02-02,open,34,long,350.9363333333333,26,9124.344666666666,,56074.800666666684
