Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit,CurrentCapital
2017-09-05,open,0,long,177.85333333333332,57,10137.64,,4862.360000000001
2017-09-07,open,1,long,174.69333333333336,17,2969.786666666667,,1892.5733333333337
2017-09-11,close,1,long,178.14666666666668,17,,0.019767974355060232,4921.0666666666675
2017-09-11,open,2,short,178.14666666666668,15,2672.2000000000003,,7593.266666666668
2017-09-15,close,0,long,179.68666666666664,57,,0.010308119049403824,17835.406666666666
2017-09-21,close,2,short,183.37333333333333,15,,-78.39999999999964,15084.806666666667
2017-10-02,open,3,short,184.6033666666667,29,5353.497633333334,,20438.304300000003
2017-10-12,close,3,short,186.75333333333333,29,,-62.349033333332045,15022.457633333337
2017-11-08,open,4,long,185.28,46,8522.88,,6499.577633333338
2017-11-28,open,5,short,186.46666666666667,17,3169.9333333333334,,9669.510966666672
2017-11-29,close,4,long,189.8066666666667,46,,0.024431491076569094,18400.617633333342
2017-11-29,open,6,short,189.8066666666667,54,10249.560000000001,,28650.177633333344
2017-11-30,open,7,short,192.25666666666666,70,13457.966666666667,,42108.144300000014
2017-12-01,open,8,short,193.09,56,10813.04,,52921.184300000015
2017-12-04,open,9,short,197.54,52,10272.08,,63193.26430000002
2017-12-05,open,10,long,196.51999999999998,36,7074.719999999999,,56118.544300000016
2017-12-08,close,5,short,196.24666666666667,17,,-166.26000000000022,52782.35096666668
2017-12-11,close,8,short,196.39333333333335,56,,-184.98666666666577,41784.324300000015
2017-12-12,close,10,long,198.66333333333333,36,,0.010906438700047602,48936.20430000001
2017-12-12,open,11,short,198.66333333333333,45,8939.85,,57876.05430000001
2017-12-14,close,9,short,196.92849999999999,52,,31.798000000000684,47635.77230000001
2017-12-22,close,11,short,198.16,45,,22.649999999999636,38718.572300000014
2018-01-03,open,12,short,198.92999999999998,36,7161.48,,45880.05230000001
2018-01-12,open,13,short,209.11666666666665,41,8573.783333333333,,54453.83563333334
2018-01-17,open,14,short,213.26666666666665,45,9597.0,,64050.83563333334
2018-01-22,close,13,short,215.1,41,,-245.31666666666752,55231.735633333345
2018-01-22,open,15,short,215.1,31,6668.099999999999,,61899.83563333334
2018-02-01,close,15,short,216.26,31,,-35.960000000000036,55195.775633333345
2018-02-01,open,16,short,216.26,42,9082.92,,64278.695633333344
2018-02-02,close,16,short,211.19000000000003,42,,212.9399999999987,55408.71563333334
2018-02-02,open,17,long,211.19000000000003,59,12460.210000000001,,42948.50563333334
Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit,CurrentCapital
2017-09-05,open,0,long,177.85333333333332,57,10137.64,,4862.360000000001
2017-09-07,open,1,long,174.69333333333336,17,2969.786666666667,,1892.5733333333337
