Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit,CurrentCapital
2017-09-05,open,0,long,942.8218,4,3771.2872,,11228.7128
2017-09-14,open,1,long,942.1719999999999,3,2826.5159999999996,,8402.1968
2017-09-15,close,0,long,936.0966666666667,4,,-0.0071329845505623225,12146.583466666667
2017-09-20,open,2,short,945.0133333333333,4,3780.0533333333333,,15926.6368
2017-09-25,close,2,short,932.8467,4,,48.666533333333064,12195.25
2017-09-25,open,3,long,932.8467,4,3731.3868,,8463.8632
2017-09-27,close,1,long,955.7599999999999,3,,0.014421995134646374,11331.143199999999
2017-09-27,open,4,short,955.7599999999999,5,4778.799999999999,,16109.943199999998
2017-09-28,close,3,long,962.18,4,,0.03144493087663803,19958.6632
2017-10-05,open,5,short,980.6561666666666,5,4903.280833333333,,24861.944033333333
2017-10-06,open,6,short,988.8033333333333,4,3955.213333333333,,28817.157366666666
2017-10-11,open,7,short,1000.3866666666667,5,5001.933333333333,,33819.0907
2017-10-16,close,6,short,1007.6233333333333,4,,-75.2800000000002,29788.59736666667
2017-10-19,open,8,long,1002.1533333333333,5,5010.766666666666,,24777.830700000002
2017-10-23,open,9,long,991.4766666666666,3,2974.43,,21803.400700000002
2017-10-24,close,7,short,984.9433333333333,5,,77.21666666666715,16878.684033333335
2017-10-27,close,8,long,1041.3799999999999,5,,0.03914238007490535,22085.584033333333
2017-10-27,open,10,short,1041.3799999999999,11,11455.179999999998,,33540.76403333333
2017-10-30,close,9,long,1031.7633333333333,3,,0.0406329952293381,36636.054033333334
2017-10-30,open,11,long,1031.7633333333333,7,7222.343333333333,,29413.7107
2017-11-03,close,11,long,1046.1000000000001,7,,0.013895305447954908,36736.4107
2017-11-06,close,10,short,1045.7566666666667,11,,-48.14333333333525,25233.087366666667
2017-11-09,open,12,long,1044.8166666666668,5,5224.083333333334,,20009.00403333333
2017-11-16,open,13,short,1046.0766666666666,2,2092.153333333333,,22101.157366666663
2017-11-17,open,14,long,1040.2066666666667,2,2080.4133333333334,,20020.74403333333
2017-11-20,close,13,short,1035.3400000000001,2,,21.473333333332903,17950.06403333333
2017-11-21,open,15,short,1046.61,1,1046.61,,18996.67403333333
2017-11-22,close,14,long,1051.5333333333335,2,,0.010888861828739311,21099.740699999995
2017-11-24,close,12,long,1056.17,5,,0.010866340187273636,26380.590699999993
2017-11-27,open,16,short,1066.6066666666668,5,5333.033333333334,,31713.624033333326
2017-11-29,close,16,short,1041.9333333333334,5,,123.36666666666679,26503.957366666662
2017-11-29,open,17,long,1041.9333333333334,8,8335.466666666667,,18168.490699999995
2017-12-01,close,15,short,1026.4033333333334,1,,20.20666666666648,17142.08736666666
2017-12-01,open,18,long,1026.4033333333334,2,2052.806666666667,,15089.280699999992
2017-12-04,open,19,long,1017.4766666666668,1,1017.4766666666668,,14071.804033333325
2017-12-06,close,19,long,1029.2033333333334,1,,0.011525243822135059,15101.007366666658
2017-12-06,open,20,short,1029.2033333333334,1,1029.2033333333334,,16130.21069999999
2017-12-07,close,18,long,1042.9499999999998,2,,0.016121018053331597,18216.11069999999
2017-12-07,open,21,short,1042.9499999999998,2,2085.8999999999996,,20302.01069999999
2017-12-14,close,17,long,1059.3833333333334,8,,0.016747712585578136,28777.077366666657
2017-12-18,open,22,short,1080.6499999999999,4,4322.599999999999,,33099.677366666656
2017-12-22,close,22,short,1069.4066666666668,4,,44.97333333333245,28822.050699999993
2018-01-02,open,23,short,1067.4033333333334,4,4269.613333333334,,33091.66403333333
2018-01-03,open,24,short,1087.0166666666667,4,4348.066666666667,,37439.73069999999
2018-01-12,close,23,short,1123.32,4,,-223.66666666666606,32946.450699999994
2018-01-12,open,25,short,1123.32,5,5616.599999999999,,38563.05069999999
2018-01-22,close,25,short,1157.62,5,,-171.5,32774.950699999994
2018-01-22,open,26,short,1157.62,3,3472.8599999999997,,36247.810699999995
2018-01-23,open,27,short,1173.9766666666667,5,5869.883333333333,,42117.694033333326
2018-01-30,open,28,long,1179.9366666666667,4,4719.746666666667,,37397.94736666666
2018-02-01,close,26,short,1179.4666666666665,3,,-65.53999999999996,33859.54736666666
2018-02-02,close,27,short,1120.5566666666666,5,,267.10000000000036,28256.764033333326
2018-02-02,open,29,long,1120.5566666666666,10,11205.566666666666,,17051.19736666666
