Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit,CurrentCapital
2017-09-05,open,0,long,166.01893333333334,75,12451.42,,2548.58
2017-09-08,open,1,long,164.37,8,1314.96,,1233.62
2017-09-11,close,0,long,167.9175,75,,0.011435844265152081,13827.432499999999
2017-09-11,open,2,short,167.9175,55,9235.4625,,23062.894999999997
2017-09-12,close,1,long,168.86,8,,0.02731642027133911,24413.774999999998
2017-09-15,open,3,short,177.62333333333333,138,24512.02,,48925.795
2017-09-18,open,4,short,187.87,161,30247.07,,79172.86499999999
2017-09-21,close,2,short,180.35666666666665,55,,-684.1541666666672,69253.24833333332
2017-09-21,close,4,short,180.35666666666665,161,,1209.6466666666674,40215.82499999999
2017-09-21,open,5,long,180.35666666666665,111,20019.59,,20196.23499999999
2017-09-25,close,3,short,172.98666666666668,138,,639.859999999997,-3675.925000000014
2017-10-09,close,5,long,184.71666666666667,111,,0.024174321252333295,16827.624999999985
2017-10-09,open,8,short,184.71666666666667,61,11267.716666666667,,28095.341666666653
2017-10-10,open,9,short,189.71333333333334,102,19350.760000000002,,47446.101666666655
2017-10-13,open,10,short,193.74666666666667,64,12399.786666666667,,59845.88833333332
2017-10-16,open,11,short,196.40600000000003,58,11391.548000000003,,71237.43633333332
2017-10-19,close,8,short,196.08336666666665,61,,-693.3686999999991,59276.35096666666
2017-10-20,close,9,short,197.67666666666665,102,,-812.2599999999948,39113.33096666666
2017-10-23,close,10,short,197.09,64,,-213.97333333333336,26499.57096666666
2017-10-25,open,12,long,194.6833333333333,76,14795.93333333333,,11703.637633333328
2017-10-26,close,11,short,195.22000000000003,58,,68.78800000000047,380.87763333332623
2017-10-27,close,12,long,200.16,76,,0.028131153154695835,15593.037633333326
2017-10-27,open,13,short,200.16,52,10408.32,,26001.357633333326
2017-10-30,open,14,short,203.71663333333333,45,9167.2485,,35168.60613333333
2017-10-31,open,15,short,206.53333333333333,36,7435.2,,42603.806133333324
2017-11-03,open,16,short,207.57366666666667,31,6434.783666666666,,49038.58979999999
2017-11-06,close,13,short,208.76999999999998,52,,-447.71999999999935,38182.549799999986
2017-11-07,open,17,short,211.66186666666667,36,7619.8272,,45802.376999999986
2017-11-08,close,17,short,209.46669999999997,36,,79.02600000000075,38261.575799999984
2017-11-08,open,18,long,209.46669999999997,45,9426.001499999998,,28835.574299999986
2017-11-09,close,14,short,204.00666666666666,45,,-13.051499999999578,19655.274299999983
2017-11-09,close,16,short,204.00666666666666,31,,110.57699999999932,13331.067633333314
2017-11-09,open,19,long,204.00666666666666,31,6324.206666666667,,7006.860966666647
2017-11-10,close,15,short,215.48,36,,-322.0799999999999,-750.4190333333527
2017-11-10,close,19,long,215.48,31,,0.05623999215711902,5929.460966666647
2017-11-10,open,20,short,215.48,40,8619.199999999999,,14548.660966666646
2017-11-13,close,18,long,213.93666666666664,45,,0.02133974835459141,24175.810966666646
2017-11-13,open,21,long,213.93666666666664,50,10696.833333333332,,13478.977633333314
2017-11-15,close,20,short,209.92666666666665,40,,222.1333333333332,5081.910966666648
2017-11-15,open,22,long,209.92666666666665,14,2938.973333333333,,2142.9376333333153
2017-11-16,close,22,long,212.35333333333332,14,,0.011559592238559662,5115.8842999999815
2017-11-21,open,23,short,215.65666666666667,10,2156.5666666666666,,7272.450966666648
2017-11-24,close,21,long,216.1866666666667,50,,0.01051713123821709,18081.78429999998
2017-11-27,open,24,long,215.17,37,7961.29,,10120.49429999998
2017-11-28,close,23,short,211.2266666666667,10,,44.29999999999973,8008.227633333313
2017-11-28,open,25,long,211.2266666666667,22,4646.986666666668,,3361.2409666666454
2017-11-29,open,26,long,199.25753333333333,26,5180.695866666667,,-1819.4549000000216
2017-12-07,close,24,long,191.90333333333334,37,,-0.1081315548945795,5280.968433333312
2017-12-07,open,31,short,191.90333333333334,17,3262.3566666666666,,8543.325099999978
2017-12-08,close,25,long,192.47333333333333,22,,-0.08878298194672415,12777.73843333331
2017-12-12,open,32,long,191.5233333333333,26,4979.606666666667,,7798.131766666644
2017-12-13,close,31,short,188.20333333333335,17,,62.899999999999636,4598.675099999977
2017-12-13,open,33,long,188.20333333333335,15,2823.05,,1775.6250999999766
2017-12-14,open,34,long,186.8033333333333,4,747.2133333333333,,1028.4117666666434
2017-12-15,close,34,long,189.85333333333332,4,,0.016327331774950545,1787.8250999999768
2017-12-15,open,35,short,189.85333333333332,7,1328.9733333333334,,3116.79843333331
2017-12-18,close,32,long,195.97333333333336,26,,0.023234766869137065,8212.105099999977
2017-12-18,open,36,short,195.97333333333336,20,3919.466666666667,,12131.571766666644
2017-12-19,close,33,long,196.26666666666668,15,,0.04284373284213876,15075.571766666644
2017-12-26,open,37,short,195.67,21,4109.07,,19184.641766666646
2017-12-28,close,36,short,197.9771333333333,20,,-40.07599999999911,15225.099099999978
2017-12-29,open,38,long,195.15333333333334,16,3122.4533333333334,,12102.645766666645
2018-01-02,close,38,long,197.78333333333333,16,,0.013476582516311937,15267.179099999978
2018-01-02,open,39,short,197.78333333333333,20,3955.6666666666665,,19222.845766666644
2018-01-03,close,26,long,209.97333333333333,26,,0.053778644253684324,24682.15243333331
2018-01-03,open,40,short,209.97333333333333,78,16377.92,,41060.07243333331
2018-01-04,open,41,short,214.77666666666664,49,10524.056666666665,,51584.12909999998
2018-01-05,close,37,short,214.46333333333334,21,,-394.66000000000076,47080.39909999997
2018-01-08,open,42,short,221.86,70,15530.2,,62610.59909999998
2018-01-11,open,43,short,224.52,32,7184.64,,69795.23909999998
2018-01-12,close,39,short,223.10333333333335,20,,-506.400000000001,65333.17243333332
2018-01-12,open,44,long,223.10333333333335,27,6023.790000000001,,59309.38243333332
2018-01-16,close,43,short,221.43666666666664,32,,98.66666666666788,52223.40909999999
2018-01-16,open,45,long,221.43666666666664,31,6864.536666666666,,45358.87243333332
2018-01-17,open,46,short,222.24666666666667,4,888.9866666666667,,46247.85909999999
2018-01-18,close,42,short,224.58666666666667,70,,-190.8666666666668,30526.792433333318
2018-01-18,close,45,long,224.58666666666667,31,,0.014225286387379467,37488.97909999998
2018-01-19,close,44,long,229.4,27,,0.02822309542663328,43682.779099999985
2018-01-19,open,47,short,229.4,45,10323.0,,54005.779099999985
2018-01-22,open,48,short,231.85,40,9274.0,,63279.779099999985
2018-01-23,open,49,short,237.947,34,8090.198,,71369.97709999999
2018-01-24,open,50,long,236.6145333333333,42,9937.810399999998,,61432.16669999999
2018-01-26,close,50,long,241.42333333333332,42,,0.020323350101346307,71571.94669999999
2018-01-26,open,51,short,241.42333333333332,37,8932.663333333332,,80504.61003333332
2018-01-29,close,47,short,245.19000000000003,45,,-710.5500000000011,69471.06003333331
2018-01-29,open,52,short,245.19000000000003,31,7600.890000000001,,77071.95003333331
2018-01-30,close,52,short,242.51666666666665,31,,82.87333333333481,69553.93336666665
2018-01-30,open,53,long,242.51666666666665,39,9458.15,,60095.78336666665
2018-01-31,close,53,long,246.50666666666666,39,,0.016452477492955874,69709.54336666665
2018-01-31,open,54,short,246.50666666666666,32,7888.213333333333,,77597.75669999998
2018-02-01,close,48,short,241.82000000000002,40,,-398.8000000000011,67924.95669999998
2018-02-01,close,54,short,241.82000000000002,32,,149.97333333333245,60186.716699999975
2018-02-01,open,55,long,241.82000000000002,36,8705.52,,51481.19669999997
2018-02-02,close,49,short,234.22,34,,126.71800000000076,43517.716699999975
2018-02-02,open,56,long,234.22,19,4450.18,,39067.536699999975
