Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit,CurrentCapital
2017-09-05,open,0,short,79.19666666666667,139,11008.336666666668,,26008.33666666667
2017-09-06,open,1,short,80.06666666666668,96,7686.4000000000015,,33694.73666666667
2017-09-08,close,1,short,78.82833333333333,96,,118.88000000000102,26127.216666666667
2017-09-08,open,2,long,78.82833333333333,116,9144.086666666666,,16983.13
2017-09-13,close,2,long,80.04333333333334,116,,0.015413239740364139,26268.15666666667
2017-09-15,close,0,short,80.13333333333333,139,,-130.1966666666649,15129.623333333338
2017-10-03,open,3,short,79.21,92,7287.32,,22416.943333333336
2017-10-09,open,4,short,80.437,155,12467.734999999999,,34884.67833333334
2017-10-10,open,5,short,83.87333333333333,276,23149.04,,58033.71833333334
2017-10-11,open,6,short,85.37333333333333,201,17160.04,,75193.75833333333
2017-10-13,close,3,short,86.60333333333334,92,,-680.1866666666674,67226.25166666668
2017-10-16,open,7,long,85.79333333333334,95,8150.366666666667,,59075.88500000001
2017-10-19,close,4,short,86.2753,155,,-904.9365000000016,45703.213500000005
2017-10-20,close,5,short,87.05666666666666,276,,-878.5999999999949,21675.573500000006
2017-10-20,close,7,long,87.05666666666666,95,,0.014725308881808969,29945.956833333337
2017-10-20,open,8,short,87.05666666666666,68,5919.853333333333,,35865.81016666667
2017-10-23,open,9,short,88.27666666666666,93,8209.73,,44075.54016666667
2017-10-30,close,8,short,87.097,68,,-2.7426666666669917,38152.944166666675
2017-10-30,open,10,long,87.097,63,5487.111,,32665.833166666675
2017-10-31,close,9,short,87.12333333333333,93,,107.25999999999931,24563.363166666673
2017-11-02,close,10,long,88.5884,63,,0.017123437087385337,30144.432366666675
2017-11-02,open,11,short,88.5884,46,4075.0663999999997,,34219.49876666667
2017-11-03,open,12,short,89.44,57,5098.08,,39317.57876666667
2017-11-08,open,13,short,89.92666666666666,59,5305.673333333333,,44623.252100000005
2017-11-13,close,12,short,91.28000000000002,57,,-104.88000000000102,39420.292100000006
2017-11-15,open,14,long,90.11000000000001,73,6578.030000000001,,32842.26210000001
2017-11-16,close,14,long,98.00666666666666,73,,0.08763363296711402,39996.74876666667
2017-11-16,open,15,short,98.00666666666666,319,31264.126666666663,,71260.87543333333
2017-11-20,close,15,short,96.96,319,,333.8866666666654,40330.63543333333
2017-11-29,open,16,short,97.56666666666666,98,9561.533333333333,,49892.16876666666
2017-12-08,close,16,short,96.46266666666668,98,,108.1919999999991,40438.82743333333
2017-12-26,open,17,short,98.98333333333333,36,3563.4,,44002.22743333333
2018-01-05,close,17,short,100.04,36,,-38.039999999999964,40400.78743333333
2018-01-08,open,18,short,101.19,73,7386.87,,47787.657433333334
2018-01-10,close,18,short,99.36333333333334,73,,133.34666666666544,40534.134099999996
2018-01-10,open,19,long,99.36333333333334,67,6657.343333333334,,33876.79076666666
2018-01-12,close,19,long,100.87,67,,0.015163205743231779,40635.08076666666
2018-01-12,open,20,short,100.87,59,5951.33,,46586.41076666666
2018-01-17,open,21,short,102.11333333333333,73,7454.273333333333,,54040.68409999999
2018-01-18,open,22,short,104.28666666666668,101,10532.953333333335,,64573.63743333332
2018-01-22,close,20,short,104.98,59,,-242.4900000000007,58379.81743333332
2018-01-26,open,23,short,107.82666666666667,53,5714.8133333333335,,64094.630766666654
2018-01-29,open,24,short,109.17333333333333,64,6987.093333333333,,71081.72409999999
2018-01-30,open,25,long,108.08193333333334,71,7673.817266666667,,63407.90683333333
2018-01-31,close,24,short,106.95,64,,142.29333333333307,56563.10683333333
2018-01-31,open,26,long,106.95,35,3743.25,,52819.85683333333
2018-02-01,close,23,short,105.75333333333333,53,,109.88666666666722,47214.930166666665
2018-02-01,open,27,long,105.75333333333333,9,951.78,,46263.150166666666
2018-02-02,open,28,long,105.03333333333335,9,945.3000000000001,,45317.85016666666
Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit,CurrentCapital
2017-09-05,open,0,short,79.19666666666667,139,11008.336666666668,,26008.33666666667
2017-09-06,open,1,short,80.06666666666668,96,7686.4000000000015,,33694.73666666667
2017-09-08,close,1,short,78.82833333333333,96,,118.88000000000102,26127.216666666667
2017-09-08,open,2,long,78.82833333333333,116,9144.086666666666,,16983.13
2017-09-13,close,2,long,80.04333333333334,116,,0.015413239740364139,26268.15666666667
2017-09-15,close,0,short,80.13333333333333,139,,-130.1966666666649,15129.623333333338
2017-10-03,open,3,short,79.21,92,7287.32,,22416.943333333336
2017-10-09,open,4,short,80.437,155,12467.734999999999,,34884.67833333334
2017-10-10,open,5,short,83.87333333333333,276,23149.04,,58033.71833333334
2017-10-11,open,6,short,85.37333333333333,201,17160.04,,75193.75833333333
2017-10-13,close,3,short,86.60333333333334,92,,-680.1866666666674,67226.25166666668
2017-10-16,open,7,long,85.79333333333334,95,8150.366666666667,,59075.88500000001
2017-10-19,close,4,short,86.2753,155,,-904.9365000000016,45703.213500000005
2017-10-20,close,5,short,87.05666666666666,276,,-878.5999999999949,21675.573500000006
2017-10-20,close,7,long,87.05666666666666,95,,0.014725308881808969,29945.956833333337
2017-10-20,open,8,short,87.05666666666666,68,5919.853333333333,,35865.81016666667
2017-10-23,open,9,short,88.27666666666666,93,8209.73,,44075.54016666667
2017-10-30,close,8,short,87.097,68,,-2.7426666666669917,38152.944166666675
2017-10-30,open,10,long,87.097,63,5487.111,,32665.833166666675
2017-10-31,close,9,short,87.12333333333333,93,,107.25999999999931,24563.363166666673
2017-11-02,close,10,long,88.5884,63,,0.017123437087385337,30144.432366666675
2017-11-02,open,11,short,88.5884,46,4075.0663999999997,,34219.49876666667
2017-11-03,open,12,short,89.44,57,5098.08,,39317.57876666667
2017-11-08,open,13,short,89.92666666666666,59,5305.673333333333,,44623.252100000005
2017-11-13,close,12,short,91.28000000000002,57,,-104.88000000000102,39420.292100000006
2017-11-15,open,14,long,90.11000000000001,73,6578.030000000001,,32842.26210000001
2017-11-16,close,14,long,98.00666666666666,73,,0.08763363296711402,39996.74876666667
2017-11-16,open,15,short,98.00666666666666,319,31264.126666666663,,71260.87543333333
2017-11-20,close,15,short,96.96,319,,333.8866666666654,40330.63543333333
2017-11-29,open,16,short,97.56666666666666,98,9561.533333333333,,49892.16876666666
2017-12-08,close,16,short,96.46266666666668,98,,108.1919999999991,40438.82743333333
2017-12-26,open,17,short,98.98333333333333,36,3563.4,,44002.22743333333
2018-01-05,close,17,short,100.04,36,,-38.039999999999964,40400.78743333333
2018-01-08,open,18,short,101.19,73,7386.87,,47787.657433333334
2018-01-10,close,18,short,99.36333333333334,73,,133.34666666666544,40534.134099999996
2018-01-10,open,19,long,99.36333333333334,67,6657.343333333334,,33876.79076666666
2018-01-12,close,19,long,100.87,67,,0.015163205743231779,40635.08076666666
2018-01-12,open,20,short,100.87,59,5951.33,,46586.41076666666
2018-01-17,open,21,short,102.11333333333333,73,7454.273333333333,,54040.68409999999
2018-01-18,open,22,short,104.28666666666668,101,10532.953333333335,,64573.63743333332
2018-01-22,close,20,short,104.98,59,,-242.4900000000007,58379.81743333332
2018-01-26,open,23,short,107.82666666666667,53,5714.8133333333335,,64094.630766666654
2018-01-29,open,24,short,109.17333333333333,64,6987.093333333333,,71081.72409999999
2018-01-30,open,25,long,108.08193333333334,71,7673.817266666667,,63407.90683333333
2018-01-31,close,24,short,106.95,64,,142.29333333333307,56563.10683333333
2018-01-31,open,26,long,106.95,35,3743.25,,52819.85683333333
2018-02-01,close,23,short,105.75333333333333,53,,109.88666666666722,47214.930166666665
2018-02-01,open,27,long,105.75333333333333,9,951.78,,46263.150166666666
2018-02-02,open,28,long,105.03333333333335,9,945.3000000000001,,45317.85016666666
