Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit,CurrentCapital
2017-09-05,open,0,short,942.8218,4,3771.2872,,18771.2872
2017-09-06,open,1,short,939.7333333333332,4,3758.933333333333,,22530.220533333333
2017-09-07,open,2,short,945.9721666666668,3,2837.9165000000003,,25368.137033333333
2017-09-08,open,3,short,944.04,3,2832.12,,28200.25703333333
2017-09-11,open,4,short,945.6566666666666,4,3782.6266666666666,,31982.8837
2017-09-12,open,5,short,944.0783333333334,3,2832.235,,34815.1187
2017-09-13,open,6,short,949.3433333333332,3,2848.0299999999997,,37663.1487
2017-09-14,open,7,short,942.1719999999999,4,3768.6879999999996,,41431.8367
2017-09-15,close,0,short,936.0966666666667,4,,26.900533333333442,37687.450033333334
2017-09-15,close,2,short,936.0966666666667,3,,29.626500000000306,34879.16003333333
2017-09-15,close,4,short,936.0966666666667,4,,38.23999999999978,31134.773366666665
2017-09-15,close,6,short,936.0966666666667,3,,39.73999999999978,28326.483366666667
2017-09-15,open,8,short,936.0966666666667,6,5616.58,,33943.06336666667
2017-09-18,close,3,short,930.6700000000001,3,,40.10999999999967,31151.05336666667
2017-09-18,close,7,short,930.6700000000001,4,,46.007999999999356,27428.37336666667
2017-09-18,open,9,short,930.6700000000001,4,3722.6800000000003,,31151.05336666667
2017-09-19,close,5,short,933.82,3,,30.77500000000009,28349.59336666667
2017-09-19,open,10,short,933.82,4,3735.28,,32084.87336666667
2017-09-20,open,11,short,945.0133333333333,6,5670.08,,37754.95336666667
2017-09-21,open,12,short,946.5766666666667,4,3786.306666666667,,41541.26003333333
2017-09-22,open,13,short,944.6983333333334,3,2834.0950000000003,,44375.35503333333
2017-09-25,close,8,short,932.8467,6,,19.499799999999595,38778.27483333333
2017-09-25,close,11,short,932.8467,6,,72.9997999999996,33181.194633333325
2017-09-25,close,13,short,932.8467,3,,35.55490000000009,30382.654533333327
2017-09-25,open,14,short,932.8467,6,5597.0802,,35979.73473333333
2017-09-26,open,15,short,938.8766666666667,5,4694.383333333333,,40674.11806666666
2017-09-27,open,16,short,955.7599999999999,7,6690.319999999999,,47364.43806666666
2017-09-28,close,9,short,962.18,4,,-126.03999999999951,43515.71806666666
2017-09-28,open,17,short,962.18,4,3848.72,,47364.43806666666
