Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit

Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit

Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit,CurrentCapital
2017-09-15,open,0,short,177.62333333333333,137,24334.396666666667,,39334.39666666667
2017-09-18,open,1,short,187.87,159,29871.33,,69205.72666666667
2017-09-19,open,2,short,187.27166666666668,83,15543.548333333334,,84749.27500000001
2017-09-20,open,3,short,186.49,69,12867.810000000001,,97617.085
2017-09-21,close,1,short,180.35666666666665,159,,1194.6200000000026,68940.37500000001
2017-09-21,close,3,short,180.35666666666665,69,,423.20000000000255,56495.765000000014
2017-09-21,open,4,short,180.35666666666665,118,21282.086666666666,,77777.85166666668
2017-09-22,close,2,short,179.97,83,,606.0383333333339,62840.34166666668
2017-09-22,open,5,short,179.97,55,9898.35,,72738.69166666668
2017-09-25,close,0,short,172.98666666666668,137,,635.2233333333315,49039.51833333334
2017-09-25,close,5,short,172.98666666666668,55,,384.08333333333394,39525.25166666668
2017-09-25,open,6,short,172.98666666666668,109,18855.54666666667,,58380.79833333335
2017-09-26,close,4,short,173.66333333333333,118,,789.8133333333353,37888.52500000001
2017-09-26,open,7,short,173.66333333333333,146,25354.846666666665,,63243.37166666667
2017-09-27,open,8,short,174.91666666666666,92,16092.333333333332,,79335.705
2017-09-28,open,9,short,175.20666666666668,56,9811.573333333334,,89147.27833333334
2017-09-29,open,10,short,178.58333333333334,78,13929.5,,103076.77833333334
2017-10-02,open,11,short,179.32666666666668,63,11297.580000000002,,114374.35833333334
2017-10-03,open,12,short,179.1766666666667,49,8779.656666666668,,123154.015
2017-10-04,open,13,short,180.26,53,9553.779999999999,,132707.79499999998
2017-10-05,close,6,short,180.77666666666664,109,,-849.1099999999933,113003.13833333334
2017-10-05,open,14,short,180.77666666666664,52,9400.386666666665,,122403.525
2017-10-06,close,7,short,180.71333333333334,146,,-1029.300000000003,96019.37833333333
2017-10-06,open,15,short,180.71333333333334,35,6324.966666666667,,102344.345
2017-10-09,close,10,short,184.71666666666667,78,,-478.39999999999964,87936.445
2017-10-09,open,16,short,184.71666666666667,60,11083.0,,99019.445
2017-10-10,open,17,short,189.71333333333334,101,19161.04666666667,,118180.49166666667
2017-10-11,open,18,short,189.89333333333335,55,10444.133333333333,,128624.625
2017-10-12,close,11,short,191.35003333333336,63,,-757.472099999999,116569.5729
2017-10-12,open,19,short,191.35003333333336,52,9950.201733333335,,126519.77463333333
2017-10-13,close,12,short,193.74666666666667,49,,-713.9299999999985,117026.18796666668
2017-10-13,open,20,short,193.74666666666667,58,11237.306666666667,,128263.49463333335
2017-10-16,close,15,short,196.40600000000003,35,,-549.2433333333338,121389.28463333336
2017-10-16,open,21,short,196.40600000000003,51,10016.706000000002,,131405.99063333336
2017-10-17,open,22,short,197.66666666666666,42,8302.0,,139707.99063333336
2017-10-18,open,23,short,196.34666666666666,50,9817.333333333334,,149525.3239666667
2017-10-19,close,16,short,196.08336666666665,60,,-682.0019999999986,137760.3219666667
2017-10-19,open,24,short,196.08336666666665,48,9412.0016,,147172.3235666667
2017-10-20,close,17,short,197.67666666666665,101,,-804.2966666666616,127206.98023333336
2017-10-20,open,25,short,197.67666666666665,35,6918.6833333333325,,134125.66356666668
2017-10-23,close,20,short,197.09,58,,-193.91333333333205,122694.44356666668
2017-10-23,open,26,short,197.09,33,6503.97,,129198.41356666668
2017-10-24,open,27,short,197.79,31,6131.49,,135329.90356666668
2017-10-25,close,22,short,194.6833333333333,42,,125.30000000000109,127153.20356666666
2017-10-25,close,25,short,194.6833333333333,35,,104.76666666666642,120339.28689999999
2017-10-25,close,27,short,194.6833333333333,31,,96.3066666666673,114304.10356666666
