Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit,CurrentCapital
2017-09-05,open,0,long,47.526666666666664,98,4657.613333333333,,10342.386666666667
2017-09-06,open,1,long,47.028333333333336,95,4467.691666666667,,5874.695000000001
2017-09-07,open,2,long,46.49333333333333,65,3022.0666666666666,,2852.628333333334
2017-09-08,open,3,long,46.07,26,1197.82,,1654.808333333334
2017-09-11,open,4,long,46.25333333333333,12,555.04,,1099.768333333334
2017-09-12,close,3,long,46.70666666666667,26,,0.013819549960205634,2314.1416666666673
2017-09-12,open,5,long,46.70666666666667,17,794.0133333333334,,1520.128333333334
2017-09-13,close,2,long,47.06333333333333,65,,0.012259822196730774,4579.245000000001
2017-09-13,open,6,long,47.06333333333333,38,1788.4066666666668,,2790.838333333334
2017-09-14,close,4,long,47.26,12,,0.021764197174978454,3357.958333333334
2017-09-14,open,7,long,47.26,26,1228.76,,2129.1983333333337
2017-09-15,close,0,long,47.605,98,,0.0016481975031562351,6794.488333333334
2017-09-15,close,5,long,47.605,17,,0.019233514130744905,7603.7733333333335
2017-09-15,open,8,long,47.605,121,5760.205,,1843.5683333333336
2017-09-18,close,1,long,47.94833333333333,95,,0.019562674983166096,6398.66
2017-09-18,close,7,long,47.94833333333333,26,,0.014564818733248587,7645.316666666667
2017-09-18,open,9,long,47.94833333333333,93,4459.195,,3186.121666666667
2017-09-19,close,6,long,48.96666666666667,38,,0.04044195764572558,5046.8550000000005
2017-09-19,close,9,long,48.96666666666667,93,,0.02123813827383661,9600.755000000001
2017-09-19,open,10,long,48.96666666666667,187,9156.766666666666,,443.9883333333346
2017-09-20,close,8,long,49.4,121,,0.03770612330637533,6421.388333333334
2017-09-20,open,11,long,49.4,75,3705.0,,2716.3883333333342
2017-09-21,open,12,long,49.074666666666666,24,1177.792,,1538.5963333333343
2017-09-22,close,10,long,49.666666666666664,187,,0.014295439074200098,10826.263
2017-09-22,close,12,long,49.666666666666664,24,,0.012063250556974478,12018.263
2017-09-22,open,13,long,49.666666666666664,154,7648.666666666666,,4369.596333333335
2017-09-25,close,11,long,49.98666666666667,75,,0.011875843454790947,8118.596333333335
2017-09-25,open,14,long,49.98666666666667,69,3449.0800000000004,,4669.516333333335
2017-09-26,open,15,long,49.663333333333334,35,1738.2166666666667,,2931.299666666668
2017-09-27,open,16,long,49.45166666666666,26,1285.743333333333,,1645.556333333335
2017-09-28,open,17,long,49.3717,8,394.9736,,1250.582733333335
2017-09-29,open,18,long,49.44333333333333,10,494.4333333333333,,756.1494000000017
2017-10-02,close,13,long,49.43666666666667,154,,-0.004630872483221368,8369.396066666668
2017-10-02,open,19,long,49.43666666666667,50,2471.8333333333335,,5897.562733333334
2017-10-03,open,20,long,49.76666666666667,37,1841.3666666666668,,4056.1960666666673
2017-10-04,open,21,long,49.78666666666666,24,1194.8799999999999,,2861.316066666667
2017-10-05,close,14,long,49.8265,69,,-0.0032041877834089183,6299.344566666668
2017-10-05,open,22,long,49.8265,47,2341.8455000000004,,3957.499066666667
2017-10-06,close,15,long,48.8885,35,,-0.0156017182361232,5668.596566666667
2017-10-06,open,23,long,48.8885,47,2297.7595,,3370.837066666667
2017-10-09,close,18,long,48.93,10,,-0.010382255781028658,3860.137066666667
2017-10-09,open,24,long,48.93,25,1223.25,,2636.887066666667
2017-10-10,open,25,long,49.22833333333333,17,836.8816666666667,,1800.0054000000005
2017-10-11,open,26,long,48.89666666666667,11,537.8633333333333,,1262.1420666666672
2017-10-12,close,19,long,48.443333333333335,50,,-0.02009304834468337,3684.308733333334
2017-10-12,open,27,long,48.443333333333335,40,1937.7333333333333,,1746.5754000000009
2017-10-13,close,20,long,48.05666666666667,37,,-0.03436034829202946,3524.672066666668
2017-10-13,open,28,long,48.05666666666667,45,2162.55,,1362.1220666666677
2017-10-16,close,23,long,48.04666666666666,47,,-0.01721945515475704,3620.315400000001
2017-10-16,open,29,long,48.04666666666666,24,1153.12,,2467.195400000001
2017-10-17,open,30,long,48.25333333333333,23,1109.8266666666666,,1357.3687333333344
2017-10-18,open,31,long,48.419999999999995,17,823.1399999999999,,534.2287333333345
2017-10-19,close,24,long,49.81333333333333,25,,0.01805300088561885,1779.5620666666678
2017-10-19,close,26,long,49.81333333333333,11,,0.01874701751994008,2327.5087333333345
2017-10-19,close,28,long,49.81333333333333,45,,0.03655406811403192,4569.108733333334
2017-10-19,close,30,long,49.81333333333333,23,,0.03232937275490477,5714.815400000001
2017-10-19,open,32,long,49.81333333333333,103,5130.7733333333335,,584.0420666666678
2017-10-20,close,25,long,49.35,17,,0.0024714764532620718,1422.9920666666678
2017-10-20,close,29,long,49.35,24,,0.027126404884140594,2607.392066666668
2017-10-20,open,33,long,49.35,26,1283.1000000000001,,1324.292066666668
2017-10-23,close,27,long,49.196666666666665,40,,0.01555081538567392,3292.1587333333346
2017-10-23,open,34,long,49.196666666666665,32,1574.2933333333333,,1717.8654000000013
2017-10-24,close,31,long,48.98,17,,0.011565468814539565,2550.5254000000014
2017-10-24,open,35,long,48.98,18,881.64,,1668.8854000000015
2017-10-25,open,36,long,48.53333333333333,18,873.5999999999999,,795.2854000000016
2017-10-26,close,36,long,49.02333333333333,18,,0.010096153846153904,1677.7054000000016
2017-10-26,open,37,long,49.02333333333333,15,735.35,,942.3554000000016
2017-10-27,open,38,long,48.92916666666667,7,342.50416666666666,,599.8512333333349
2017-10-30,close,33,long,48.123333333333335,26,,-0.024856467409658974,1851.0579000000016
2017-10-30,open,39,long,48.123333333333335,29,1395.5766666666668,,455.4812333333348
2017-10-31,open,40,long,47.919999999999995,4,191.67999999999998,,263.80123333333484
2017-11-01,open,41,long,47.85333333333333,1,47.85333333333333,,215.9479000000015
2017-11-02,close,34,long,47.52666666666667,32,,-0.03394538925401439,1736.801233333335
2017-11-02,open,42,long,47.52666666666667,14,665.3733333333334,,1071.4279000000015
2017-11-03,close,35,long,47.464999999999996,18,,-0.030930992241731427,1925.7979000000014
2017-11-03,open,43,long,47.464999999999996,10,474.65,,1451.1479000000013
2017-11-06,close,38,long,45.57333333333333,7,,-0.06858554032189391,1770.1612333333346
2017-11-06,open,44,long,45.57333333333333,43,1959.6533333333332,,-189.49209999999857
2017-11-09,close,39,long,45.10333333333333,29,,-0.06275542010112915,1118.504566666668
2017-11-09,open,47,long,45.10333333333333,15,676.55,,441.95456666666814
2017-11-10,close,40,long,44.913333333333334,4,,-0.06274346132442948,621.6079000000015
2017-11-10,open,48,long,44.913333333333334,6,269.48,,352.12790000000143
2017-11-13,close,43,long,44.843333333333334,10,,-0.05523368095789875,800.5612333333347
2017-11-13,open,49,long,44.843333333333334,8,358.74666666666667,,441.81456666666804
2017-11-14,open,50,long,44.406666666666666,5,222.03333333333333,,219.7812333333347
2017-11-15,open,51,long,44.15166666666667,1,44.15166666666667,,175.62956666666804
2017-11-16,close,44,long,44.586666666666666,43,,-0.021650087770626016,2092.856233333335
2017-11-16,open,52,long,44.586666666666666,19,847.1466666666666,,1245.7095666666683
2017-11-17,close,50,long,45.27,5,,0.019441525296502137,1472.0595666666682
2017-11-17,close,52,long,45.27,19,,0.015325956937799196,2332.1895666666683
2017-11-17,open,53,long,45.27,30,1358.1000000000001,,974.0895666666681
2017-11-20,close,47,long,46.01666666666667,15,,0.02024979676298893,1664.3395666666684
2017-11-20,close,49,long,46.01666666666667,8,,0.0261651676206052,2032.4729000000018
2017-11-20,close,53,long,46.01666666666667,30,,0.01649363080774618,3412.972900000002
2017-11-20,open,54,long,46.01666666666667,41,1886.6833333333336,,1526.2895666666684
2017-11-21,close,48,long,46.212266666666665,6,,0.028920884666765508,1803.5631666666684
2017-11-21,open,55,long,46.212266666666665,16,739.3962666666666,,1064.1669000000018
2017-11-22,close,51,long,46.92000000000001,1,,0.06270053980597194,1111.0869000000018
2017-11-22,close,55,long,46.92000000000001,16,,0.015314837041824628,1861.8069000000019
2017-11-22,open,56,long,46.92000000000001,19,891.4800000000001,,970.3269000000017
2017-11-24,close,54,long,47.01166666666666,41,,0.021622600507062453,2897.805233333335
2017-11-24,open,57,long,47.01166666666666,9,423.10499999999996,,2474.700233333335
