Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit,CurrentCapital
2017-10-10,open,0,short,83.87333333333333,273,22897.420000000002,,37897.42
2017-10-11,open,1,short,85.37333333333333,198,16903.920000000002,,54801.34
2017-10-12,open,2,short,85.84333333333332,137,11760.536666666665,,66561.87666666666
2017-10-13,open,3,short,86.60333333333334,99,8573.730000000001,,75135.60666666666
2017-10-16,open,4,short,85.79333333333334,99,8493.54,,83629.14666666667
2017-10-17,open,5,short,85.88550000000002,62,5324.901000000002,,88954.04766666667
2017-10-18,open,6,short,86.19940000000001,58,4999.565200000001,,93953.61286666666
2017-10-19,open,7,short,86.2753,74,6384.3722,,100337.98506666666
2017-10-20,close,0,short,87.05666666666666,273,,-869.0499999999956,76571.51506666666
2017-10-20,open,8,short,87.05666666666666,75,6529.249999999999,,83100.76506666666
2017-10-23,close,3,short,88.27666666666666,99,,-165.65999999999804,74361.37506666666
2017-10-23,open,9,short,88.27666666666666,102,9004.22,,83365.59506666666
2017-10-24,open,10,short,88.23,74,6529.02,,89894.61506666667
2017-10-25,open,11,short,88.17333333333333,50,4408.666666666667,,94303.28173333334
2017-10-26,close,4,short,88.58333333333333,99,,-276.2099999999991,85533.53173333334
2017-10-26,open,12,short,88.58333333333333,61,5403.583333333333,,90937.11506666667
2017-10-27,close,5,short,87.90333333333335,62,,-125.10566666666637,85487.1084
2017-10-27,open,13,short,87.90333333333335,62,5450.006666666668,,90937.11506666667
2017-10-30,close,8,short,87.097,75,,-3.0250000000005457,84404.84006666667
2017-10-30,close,10,short,87.097,74,,83.84200000000055,77959.66206666667
2017-10-30,close,12,short,87.097,61,,90.66633333333357,72646.74506666667
2017-10-30,open,14,short,87.097,67,5835.499,,78482.24406666667
2017-10-31,close,9,short,87.12333333333333,102,,117.63999999999942,69595.66406666666
2017-10-31,open,15,short,87.12333333333333,58,5053.153333333334,,74648.8174
2017-11-01,open,16,short,87.77833333333332,59,5178.921666666666,,79827.73906666666
2017-11-02,open,17,short,88.5884,49,4340.8315999999995,,84168.57066666667
2017-11-03,open,18,short,89.44,61,5455.84,,89624.41066666666
2017-11-06,close,13,short,89.02,62,,-69.23333333333176,84105.17066666666
2017-11-06,open,19,short,89.02,49,4361.98,,88467.15066666665
2017-11-07,open,20,short,88.77333333333333,50,4438.666666666666,,92905.81733333333
2017-11-08,open,21,short,89.92666666666666,63,5665.38,,98571.19733333333
2017-11-09,close,14,short,90.07333333333334,67,,-199.41433333333407,92536.284
