Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit,CurrentCapital
2017-09-13,open,0,short,105.13666666666667,29,3048.9633333333336,,8048.963333333333
2017-09-14,open,1,short,106.94,29,3101.2599999999998,,11150.223333333333
2017-09-15,open,2,short,106.34333333333332,26,2764.9266666666663,,13915.15
2017-09-18,open,3,short,106.76333333333332,14,1494.6866666666665,,15409.836666666666
2017-09-19,open,4,short,107.42666666666666,10,1074.2666666666667,,16484.103333333333
2017-09-20,open,5,short,108.87,16,1741.92,,18226.02333333333
2017-09-21,open,6,short,109.34999999999998,10,1093.4999999999998,,19319.52333333333
2017-09-22,open,7,short,110.13003333333332,16,1762.080533333333,,21081.603866666665
2017-09-25,close,2,short,113.35333333333334,26,,-182.26000000000067,18134.417199999996
2017-09-25,open,8,short,113.35333333333334,25,2833.8333333333335,,20968.25053333333
2017-09-26,open,9,short,113.62,14,1590.68,,22558.93053333333
2017-09-27,open,10,short,114.61000000000001,13,1489.9300000000003,,24048.86053333333
2017-09-28,close,3,short,114.68666666666667,14,,-110.92666666666673,22443.247199999998
2017-09-28,open,11,short,114.68666666666667,15,1720.3,,24163.547199999997
2017-09-29,close,4,short,113.827,10,,-64.00333333333333,23025.277199999997
2017-09-29,open,12,short,113.827,11,1252.097,,24277.3742
2017-10-02,close,7,short,114.46333333333332,16,,-69.33280000000013,22445.960866666665
2017-10-02,open,13,short,114.46333333333332,17,1945.8766666666666,,24391.83753333333
2017-10-03,open,14,short,115.84833333333334,11,1274.3316666666667,,25666.169199999997
2017-10-04,open,15,short,115.78333333333335,10,1157.8333333333335,,26824.00253333333
2017-10-05,close,8,short,116.00333333333333,25,,-66.24999999999955,23923.919199999997
2017-10-05,open,16,short,116.00333333333333,8,928.0266666666666,,24851.94586666666
2017-10-06,close,9,short,115.27,14,,-23.09999999999991,23238.165866666663
2017-10-06,open,17,short,115.27,9,1037.43,,24275.595866666663
2017-10-09,close,12,short,115.82333333333332,11,,-21.959666666666635,23001.539199999996
2017-10-09,open,18,short,115.82333333333332,9,1042.4099999999999,,24043.949199999995
2017-10-10,open,19,short,115.74833333333333,10,1157.4833333333333,,25201.43253333333
2017-10-11,open,20,short,115.30333333333333,13,1498.9433333333332,,26700.37586666666
2017-10-12,close,13,short,113.97333333333334,17,,8.3299999999997,24762.829199999993
