Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit,CurrentCapital
2017-09-05,open,0,long,237.86333333333334,29,6898.036666666667,,8101.963333333333
2017-09-06,open,1,long,235.60546666666667,17,4005.2929333333336,,4096.670399999999
2017-09-08,open,2,short,237.79333333333332,6,1426.76,,5523.430399999999
2017-09-11,close,0,long,240.58333333333334,29,,0.011435137824240826,12500.347066666665
2017-09-12,close,1,long,240.41246666666666,17,,0.020402752397935202,16587.358999999997
2017-09-14,open,3,short,244.4466666666667,37,9044.526666666667,,25631.88566666666
2017-09-15,open,4,short,248.38666666666666,66,16393.52,,42025.40566666666
2017-09-18,close,2,short,251.92583333333334,6,,-84.79500000000007,40513.85066666666
2017-09-18,open,5,short,251.92583333333334,36,9069.33,,49583.18066666666
2017-09-25,close,4,short,254.26333333333332,66,,-387.85999999999694,32801.80066666666
2017-09-25,open,6,long,254.26333333333332,23,5848.056666666666,,26953.743999999995
2017-09-28,close,5,short,253.74666666666667,36,,-65.55000000000109,17818.863999999994
2017-10-05,close,6,long,257.55333333333334,23,,0.0129393411030559,23742.59066666666
2017-10-20,open,7,short,263.00573333333335,26,6838.149066666667,,30580.73973333333
2017-10-25,close,7,short,259.6333333333333,26,,87.6824000000006,23830.27306666666
2017-10-25,open,8,long,259.6333333333333,49,12722.033333333333,,11108.239733333328
2017-11-02,open,9,short,261.29,2,522.58,,11630.819733333328
2017-11-06,close,8,long,264.14756666666665,49,,0.017386955963538283,24574.050499999994
2017-11-09,open,10,long,263.0042,21,5523.0882,,19050.962299999992
2017-11-21,close,10,long,266.23333333333335,21,,0.012277877438205749,24641.862299999993
2017-11-30,open,11,short,274.42333333333335,31,8507.123333333333,,33148.98563333333
2017-12-05,open,12,long,276.61333333333334,18,4979.04,,28169.94563333333
2017-12-07,close,12,long,281.52,18,,0.017738359201773777,33237.30563333333
2017-12-07,open,13,short,281.52,27,7601.039999999999,,40838.34563333333
2017-12-12,open,14,short,290.15333333333336,34,9865.213333333335,,50703.558966666664
2017-12-22,close,14,short,294.87666666666667,34,,-160.59333333333234,40677.7523
2018-01-05,open,15,short,304.81666666666666,36,10973.4,,51651.1523
2018-01-08,open,16,short,308.92,23,7105.160000000001,,58756.312300000005
2018-01-09,open,17,short,316.2766666666667,31,9804.576666666668,,68560.88896666668
2018-01-10,open,18,short,319.30333333333334,24,7663.280000000001,,76224.16896666668
2018-01-11,open,19,short,325.90333333333336,25,8147.583333333334,,84371.75230000001
2018-01-12,open,20,short,334.48999999999995,34,11372.659999999998,,95744.41230000001
2018-01-16,open,21,short,338.0733333333333,64,21636.693333333333,,117381.10563333334
2018-01-17,open,22,short,346.55,49,16980.95,,134362.05563333334
2018-01-18,close,16,short,343.37999999999994,23,,-792.5799999999981,126464.31563333335
2018-01-19,close,17,short,339.16,31,,-709.3833333333332,115950.35563333335
2018-01-19,close,22,short,339.16,49,,362.1100000000006,99331.51563333336
2018-01-19,open,23,long,339.16,34,11531.44,,87800.07563333336
2018-01-22,close,20,short,337.1404,34,,-90.1136000000024,76337.30203333336
2018-01-25,open,24,short,340.675,3,1022.0250000000001,,77359.32703333335
2018-01-26,close,21,short,343.48333333333335,64,,-346.2400000000016,55376.393700000015
2018-01-29,close,23,long,341.8,34,,0.0077839367849982495,66997.59370000001
2018-01-30,open,25,long,337.28333333333336,23,7757.516666666667,,59240.07703333334
2018-01-31,close,25,long,355.65333333333336,23,,0.05446459455452886,67420.1037
2018-01-31,open,26,short,355.65333333333336,53,18849.626666666667,,86269.73036666667
2018-02-02,close,26,short,350.9363333333333,53,,250.0010000000002,67670.10470000001
2018-02-02,open,27,long,350.9363333333333,26,9124.344666666666,,58545.76003333335
