Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit,CurrentCapital
2017-09-06,open,0,short,28.018333333333334,48,1344.88,,6344.88
2017-09-07,open,1,short,28.473333333333333,46,1309.7733333333333,,7654.653333333334
2017-10-26,open,2,long,28.833333333333332,97,2796.833333333333,,4857.820000000001
2017-11-01,close,1,short,27.963333333333335,46,,23.45999999999981,3571.506666666667
2017-11-02,close,0,short,27.558333333333334,48,,22.080000000000155,2248.706666666667
2017-11-02,open,3,long,27.558333333333334,49,1350.3583333333333,,898.3483333333336
2017-11-09,close,3,long,28.373333333333335,49,,0.029573631690353923,2288.6416666666673
2017-11-09,open,4,short,28.373333333333335,35,993.0666666666667,,3281.708333333334
Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit,CurrentCapital
2017-09-05,open,0,long,19.69333333333333,146,2875.2266666666665,,2124.7733333333335
2017-09-06,open,1,long,19.236666666666665,94,1808.2466666666664,,316.5266666666671
2017-09-07,open,2,long,18.776666666666667,14,262.87333333333333,,53.65333333333376
2017-09-12,open,3,short,18.919999999999998,1,18.919999999999998,,72.57333333333376
2017-09-15,close,0,long,18.936666666666667,146,,-0.038422477995937565,2837.3266666666673
2017-09-18,close,3,short,18.506666666666668,1,,0.41333333333333044,2818.8200000000006
2017-09-18,open,5,long,18.506666666666668,127,2350.346666666667,,468.4733333333338
2017-09-25,close,2,long,19.09,14,,0.016687377951358027,735.7333333333338
2017-09-25,open,6,short,19.09,23,439.07,,1174.8033333333337
2017-09-26,close,5,long,19.336666666666666,127,,0.04484870317002875,3630.5600000000004
2017-10-02,open,7,short,19.165000000000003,105,2012.3250000000003,,5642.885
2017-10-03,close,1,long,19.819999999999997,94,,0.030324033962918,7505.965
2017-10-03,open,8,short,19.819999999999997,230,4558.599999999999,,12064.564999999999
2017-10-04,open,9,short,20.150000000000002,171,3445.6500000000005,,15510.215
2017-10-05,close,6,short,20.113333333333333,23,,-23.53666666666669,15047.608333333334
2017-10-09,open,10,short,20.07146666666667,111,2227.9328000000005,,17275.541133333332
