Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit,CurrentCapital
2017-09-19,open,0,long,182.5633333333333,28,5111.773333333333,,3888.2266666666674
2017-09-28,close,0,long,186.26999999999998,28,,0.02030345633478797,9103.786666666667
2017-10-03,open,1,short,191.23333333333335,20,3824.666666666667,,12928.453333333335
2017-10-10,close,1,short,188.13333333333333,20,,62.000000000000455,9165.786666666667
2017-10-20,open,2,short,190.92,25,4773.0,,13938.786666666667
2017-10-26,open,3,short,198.95666666666668,24,4774.96,,18713.746666666666
2017-10-27,open,4,short,201.01333333333332,20,4020.2666666666664,,22734.013333333332
2017-10-30,close,2,short,199.10333333333332,25,,-204.58333333333303,17756.43
2017-10-31,close,4,short,197.45666666666668,20,,71.13333333333276,13807.296666666665
2017-11-06,open,5,short,203.87166666666667,17,3465.8183333333336,,17273.114999999998
2017-11-08,open,6,long,201.99333333333334,22,4443.8533333333335,,12829.261666666665
2017-11-09,close,5,short,197.96333333333334,17,,100.44166666666706,9463.884999999998
2017-11-09,open,7,long,197.96333333333334,12,2375.56,,7088.324999999999
