Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit,CurrentCapital
2017-09-05,open,0,long,942.8218,4,3771.2872,,11228.7128
2017-09-15,close,0,long,936.0966666666667,4,,-0.0071329845505623225,14973.099466666667
2017-09-20,open,1,short,945.0133333333333,6,5670.08,,20643.17946666667
2017-09-25,close,1,short,932.8467,6,,72.9997999999996,15046.099266666666
2017-09-25,open,2,long,932.8467,6,5597.0802,,9449.019066666666
2017-09-27,close,2,long,955.7599999999999,6,,0.024562771139137716,15183.579066666665
2017-09-27,open,3,short,955.7599999999999,7,6690.319999999999,,21873.899066666665
2017-09-29,open,4,short,971.8433333333332,6,5831.0599999999995,,27704.959066666663
2017-10-05,open,5,short,980.6561666666666,5,4903.280833333333,,32608.239899999997
2017-10-06,open,6,short,988.8033333333333,4,3955.213333333333,,36563.45323333333
2017-10-09,close,4,short,994.7566666666667,6,,-137.48000000000047,30594.913233333333
2017-10-11,open,7,short,1000.3866666666667,5,5001.933333333333,,35596.84656666667
2017-10-16,close,6,short,1007.6233333333333,4,,-75.2800000000002,31566.353233333335
2017-10-23,open,8,long,991.4766666666666,4,3965.9066666666663,,27600.44656666667
2017-10-24,close,7,short,984.9433333333333,5,,77.21666666666715,22675.729900000002
2017-10-27,close,8,long,1041.3799999999999,4,,0.05033233258136851,26841.249900000003
2017-10-27,open,9,short,1041.3799999999999,14,14579.319999999998,,41420.5699
2017-10-30,open,10,long,1031.7633333333333,6,6190.58,,35229.9899
2017-11-03,close,10,long,1046.1000000000001,6,,0.013895305447954866,41506.5899
2017-11-06,close,9,short,1045.7566666666667,14,,-61.27333333333627,26865.99656666666
2017-11-21,open,11,short,1046.61,3,3139.83,,30005.826566666663
2017-11-27,open,12,short,1066.6066666666668,5,5333.033333333334,,35338.859899999996
2017-11-29,close,12,short,1041.9333333333334,5,,123.36666666666679,30129.19323333333
2017-11-29,open,13,long,1041.9333333333334,7,7293.533333333334,,22835.6599
2017-12-01,close,11,short,1026.4033333333334,3,,60.61999999999989,19756.4499
2017-12-14,close,13,long,1059.3833333333334,7,,0.016747712585578167,27172.133233333334
2017-12-18,open,14,short,1080.6499999999999,4,4322.599999999999,,31494.733233333332
2017-12-22,close,14,short,1069.4066666666668,4,,44.97333333333245,27217.106566666665
2018-01-02,open,15,short,1067.4033333333334,4,4269.613333333334,,31486.7199
2018-01-03,open,16,short,1087.0166666666667,4,4348.066666666667,,35834.78656666667
2018-01-12,close,15,short,1123.32,4,,-223.66666666666606,31341.50656666667
2018-01-12,open,17,short,1123.32,5,5616.599999999999,,36958.10656666667
2018-01-22,close,17,short,1157.62,5,,-171.5,31170.00656666667
2018-01-22,open,18,short,1157.62,3,3472.8599999999997,,34642.86656666667
2018-01-23,open,19,short,1173.9766666666667,4,4695.906666666667,,39338.77323333334
2018-02-01,close,18,short,1179.4666666666665,3,,-65.53999999999996,35800.37323333334
2018-02-02,close,19,short,1120.5566666666666,4,,213.6800000000003,31318.146566666674
2018-02-02,open,20,long,1120.5566666666666,15,16808.35,,14509.796566666675
