Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit,CurrentCapital
2017-09-19,open,0,long,206.79666666666665,9,1861.1699999999998,,3138.83
2017-09-20,open,1,long,203.32000000000002,5,1016.6000000000001,,2122.2299999999996
2017-09-29,close,0,long,198.7733333333333,9,,-0.03879817534131758,3911.1899999999996
2017-10-02,open,2,short,201.51333333333332,5,1007.5666666666666,,4918.756666666666
2017-10-12,close,1,long,208.94253333333336,5,,0.02765361663059871,5963.4693333333325
2017-10-12,open,3,short,208.94253333333336,5,1044.7126666666668,,7008.181999999999
2017-10-19,close,3,short,205.23366666666666,5,,18.544333333333498,5982.013666666666
2017-10-20,open,4,short,208.51666666666665,6,1251.1,,7233.113666666666
2017-10-25,open,5,long,205.6966666666667,23,4731.0233333333335,,2502.0903333333326
2017-10-30,close,4,short,205.8133333333333,6,,16.220000000000027,1267.210333333333
2017-11-02,close,5,long,208.79333333333332,23,,0.015054530133367716,6069.4569999999985
2017-11-03,open,7,short,211.79833333333332,5,1058.9916666666666,,7128.448666666665
2017-11-13,close,7,short,208.42,5,,16.89166666666665,6086.348666666665
Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit,CurrentCapital
2017-09-05,open,0,long,19.69333333333333,146,2875.2266666666665,,2124.7733333333335
2017-09-06,open,1,long,19.236666666666665,94,1808.2466666666664,,316.5266666666671
2017-09-07,open,2,long,18.776666666666667,14,262.87333333333333,,53.65333333333376
2017-09-12,open,3,short,18.919999999999998,1,18.919999999999998,,72.57333333333376
2017-09-15,close,0,long,18.936666666666667,146,,-0.038422477995937565,2837.3266666666673
2017-09-18,close,3,short,18.506666666666668,1,,0.41333333333333044,2818.8200000000006
2017-09-18,open,5,long,18.506666666666668,127,2350.346666666667,,468.4733333333338
2017-09-25,close,2,long,19.09,14,,0.016687377951358027,735.7333333333338
2017-09-25,open,6,short,19.09,23,439.07,,1174.8033333333337
2017-09-26,close,5,long,19.336666666666666,127,,0.04484870317002875,3630.5600000000004
2017-10-02,open,7,short,19.165000000000003,105,2012.3250000000003,,5642.885
2017-10-03,close,1,long,19.819999999999997,94,,0.030324033962918,7505.965
2017-10-03,open,8,short,19.819999999999997,230,4558.599999999999,,12064.564999999999
2017-10-04,open,9,short,20.150000000000002,171,3445.6500000000005,,15510.215
2017-10-05,close,6,short,20.113333333333333,23,,-23.53666666666669,15047.608333333334
2017-10-09,open,10,short,20.07146666666667,111,2227.9328000000005,,17275.541133333332
2017-10-12,close,7,short,20.236666666666668,105,,-112.52500000000009,15150.69113333333
2017-10-13,close,8,short,20.29,230,,-108.10000000000036,10483.99113333333
2017-10-16,open,11,long,19.89,157,3122.73,,7361.26113333333
2017-10-17,close,9,short,19.3,171,,145.35000000000036,4060.9611333333296
2017-10-17,open,12,long,19.3,132,2547.6,,1513.3611333333297
2017-10-18,close,10,short,18.77,111,,144.4628000000007,-570.1088666666701
2017-10-26,close,11,long,18.529999999999998,157,,-0.06837606837606852,2339.1011333333295
2017-10-27,close,12,long,17.793333333333333,132,,-0.07806563039723666,4687.821133333329
2017-10-27,open,16,long,17.793333333333333,448,7971.413333333333,,-3283.5922000000037
2017-10-31,close,16,long,18.789999999999996,448,,0.056013488197826734,5134.327799999995
2017-10-31,open,17,short,18.789999999999996,356,6689.239999999999,,11823.567799999993
2017-11-01,close,17,short,18.14,356,,231.39999999999873,5365.727799999992
2017-11-01,open,18,long,18.14,442,8017.88,,-2652.1522000000077
