Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit,CurrentCapital
2017-09-05,open,0,long,166.01893333333334,75,12451.42,,2548.58
2017-09-08,open,1,long,164.37,8,1314.96,,1233.62
2017-09-11,close,0,long,167.9175,75,,0.011435844265152081,13827.432499999999
2017-09-11,open,2,short,167.9175,55,9235.4625,,23062.894999999997
2017-09-12,close,1,long,168.86,8,,0.02731642027133911,24413.774999999998
2017-09-13,open,3,short,169.73,61,10353.529999999999,,34767.30499999999
2017-09-15,open,4,short,177.62333333333333,138,24512.02,,59279.325
2017-09-18,open,5,short,187.87,161,30247.07,,89526.39499999999
2017-09-21,close,2,short,180.35666666666665,55,,-684.1541666666672,79606.77833333332
2017-09-21,close,5,short,180.35666666666665,161,,1209.6466666666674,50569.35499999999
2017-09-21,open,6,long,180.35666666666665,111,20019.59,,30549.76499999999
2017-09-25,close,4,short,172.98666666666668,138,,639.859999999997,6677.604999999985
2017-10-09,close,6,long,184.71666666666667,111,,0.024174321252333295,27181.154999999984
2017-10-09,open,9,short,184.71666666666667,61,11267.716666666667,,38448.87166666665
2017-10-13,open,10,short,193.74666666666667,64,12399.786666666667,,50848.65833333332
2017-10-16,open,11,short,196.40600000000003,58,11391.548000000003,,62240.20633333332
2017-10-17,open,12,short,197.66666666666666,48,9488.0,,71728.20633333332
2017-10-19,close,9,short,196.08336666666665,61,,-693.3686999999991,59767.12096666665
2017-10-23,close,10,short,197.09,64,,-213.97333333333336,47153.360966666645
2017-10-25,close,12,short,194.6833333333333,48,,143.20000000000073,37808.56096666664
2017-10-25,open,13,long,194.6833333333333,81,15769.349999999999,,22039.210966666644
2017-10-26,close,11,short,195.22000000000003,58,,68.78800000000047,10716.450966666642
2017-10-27,close,13,long,200.16,81,,0.0281311531546957,26929.41096666664
2017-10-27,open,14,short,200.16,56,11208.96,,38138.37096666664
2017-10-30,open,15,short,203.71663333333333,48,9778.3984,,47916.76936666664
2017-11-03,open,16,short,207.57366666666667,33,6849.9310000000005,,54766.70036666664
2017-11-06,close,14,short,208.76999999999998,56,,-482.15999999999985,43075.58036666664
2017-11-06,open,17,short,208.76999999999998,35,7306.949999999999,,50382.53036666664
2017-11-07,open,18,short,211.66186666666667,38,8043.150933333333,,58425.68129999997
2017-11-08,close,18,short,209.46669999999997,38,,83.41633333333448,50465.94669999997
2017-11-08,open,19,long,209.46669999999997,48,10054.4016,,40411.545099999974
2017-11-09,close,15,short,204.00666666666666,48,,-13.921599999999671,30619.225099999974
2017-11-09,close,17,short,204.00666666666666,35,,166.71666666666533,23478.991766666644
2017-11-09,open,20,long,204.00666666666666,33,6732.219999999999,,16746.771766666643
2017-11-10,close,19,long,215.48,48,,0.028707665705336442,27089.811766666644
2017-11-10,open,21,short,215.48,67,14437.16,,41526.97176666664
2017-11-13,close,16,short,213.93666666666664,33,,-209.97899999999845,34467.06176666664
2017-11-13,open,22,long,213.93666666666664,31,6632.036666666666,,27835.02509999997
2017-11-14,close,20,long,213.40333333333334,33,,0.046060586255351296,34877.33509999997
2017-11-15,close,21,short,209.92666666666665,67,,372.0733333333337,20812.2484333333
2017-11-15,open,23,long,209.92666666666665,29,6087.873333333333,,14724.375099999968
2017-11-16,close,23,long,212.35333333333332,29,,0.011559592238559442,20882.621766666634
2017-11-16,open,24,short,212.35333333333332,25,5308.833333333333,,26191.455099999966
2017-11-21,open,25,short,215.65666666666667,22,4744.446666666667,,30935.901766666633
2017-11-24,close,22,long,216.1866666666667,31,,0.010517131238217193,37637.6884333333
2017-11-28,close,25,short,211.2266666666667,22,,97.45999999999913,32990.701766666636
2017-11-28,open,26,long,211.2266666666667,50,10561.333333333334,,22429.3684333333
2017-11-29,close,24,short,199.25753333333333,25,,327.3949999999995,17447.93009999997
2017-11-29,open,27,long,199.25753333333333,58,11556.936933333332,,5890.993166666636
2017-12-08,close,26,long,192.47333333333333,50,,-0.088782981946724,15514.659833333302
2017-12-13,open,33,long,188.20333333333335,17,3199.456666666667,,12315.203166666635
2017-12-14,open,34,long,186.8033333333333,5,934.0166666666665,,11381.186499999969
2017-12-15,close,34,long,189.85333333333332,5,,0.016327331774950608,12330.453166666635
2017-12-15,open,35,short,189.85333333333332,8,1518.8266666666666,,13849.279833333301
2017-12-18,close,33,long,195.97333333333336,17,,0.041285134871858496,17180.826499999966
2017-12-18,open,36,short,195.97333333333336,15,2939.6000000000004,,20120.426499999965
2017-12-22,open,37,long,194.0566666666667,15,2910.8500000000004,,17209.576499999966
2017-12-26,open,38,short,195.67,5,978.3499999999999,,18187.926499999965
2017-12-27,close,37,long,197.8166666666667,15,,0.019375783705790434,21155.176499999965
2017-12-27,open,39,short,197.8166666666667,10,1978.166666666667,,23133.343166666633
2017-12-28,close,36,short,197.9771333333333,15,,-30.056999999999334,20163.68616666663
2017-12-29,close,39,short,195.15333333333334,10,,26.633333333333667,18212.152833333297
2017-12-29,open,40,long,195.15333333333334,9,1756.38,,16455.772833333296
2018-01-02,close,40,long,197.78333333333333,9,,0.01347658251631187,18235.822833333295
2018-01-02,open,41,short,197.78333333333333,11,2175.616666666667,,20411.439499999964
2018-01-03,close,27,long,209.97333333333333,58,,0.05377864425368447,32589.892833333295
2018-01-03,open,42,short,209.97333333333333,90,18897.6,,51487.492833333294
2018-01-04,open,43,short,214.77666666666664,56,12027.493333333332,,63514.986166666626
2018-01-05,close,38,short,214.46333333333334,5,,-93.9666666666667,62442.66949999996
2018-01-08,open,44,short,221.86,82,18192.52,,80635.18949999996
2018-01-11,open,45,short,224.52,37,8307.24,,88942.42949999997
2018-01-12,close,41,short,223.10333333333335,11,,-278.52,86488.2928333333
2018-01-16,close,45,short,221.43666666666664,37,,114.08333333333394,78295.13616666662
2018-01-16,open,46,long,221.43666666666664,65,14393.383333333331,,63901.75283333329
2018-01-18,close,44,short,224.58666666666667,82,,-223.58666666666613,45485.646166666615
2018-01-18,open,47,short,224.58666666666667,5,1122.9333333333334,,46608.57949999995
2018-01-19,close,46,long,229.4,65,,0.03596212611581956,61519.57949999995
2018-01-19,open,48,short,229.4,55,12617.0,,74136.57949999995
2018-01-22,open,49,short,231.85,49,11360.65,,85497.22949999994
2018-01-23,open,50,short,237.947,41,9755.827,,95253.05649999995
2018-01-26,open,51,short,241.42333333333332,44,10622.626666666665,,105875.68316666661
2018-01-29,close,48,short,245.19000000000003,55,,-868.4500000000007,92390.23316666661
2018-01-29,open,52,short,245.19000000000003,37,9072.03,,101462.26316666661
2018-01-30,close,52,short,242.51666666666665,37,,98.91333333333387,92489.14649999994
2018-01-31,open,53,short,246.50666666666666,38,9367.253333333334,,101856.39983333327
2018-02-01,close,49,short,241.82000000000002,49,,-488.53000000000065,90007.21983333328
2018-02-01,close,53,short,241.82000000000002,38,,178.09333333333234,80818.05983333327
2018-02-01,open,54,long,241.82000000000002,42,10156.44,,70661.61983333327
2018-02-02,close,50,short,234.22,41,,152.80699999999888,61058.599833333275
2018-02-02,open,55,long,234.22,23,5387.06,,55671.53983333328
