Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit,CurrentCapital
2017-11-02,open,0,long,36.881566666666664,81,2987.4069,,2012.5931
2017-11-03,open,1,long,35.93333333333333,25,898.3333333333333,,1114.2597666666668
2017-11-09,open,2,long,35.71666666666666,9,321.44999999999993,,792.8097666666669
2017-11-13,close,1,long,36.38999999999999,25,,0.012708719851576953,1702.5597666666667
2017-11-13,open,3,short,36.38999999999999,20,727.7999999999998,,2430.3597666666665
2017-11-15,close,3,short,35.53666666666667,20,,17.066666666666492,1719.6264333333334
2017-11-20,close,2,long,36.38,9,,0.018572095193654024,2047.0464333333334
Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit,CurrentCapital
2017-09-13,open,0,long,29.55666666666667,134,3960.5933333333337,,1039.4066666666663
2017-09-21,open,1,long,28.76,17,488.92,,550.4866666666662
2017-09-22,open,2,long,28.08666666666667,11,308.9533333333334,,241.53333333333285
2017-10-02,close,2,long,26.941666666666666,11,,-0.0407666745786851,537.8916666666662
2017-10-02,open,3,long,26.941666666666666,18,484.95,,52.94166666666621
2017-10-12,close,3,long,26.42,18,,-0.019362820909371956,528.5016666666663
