Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit,CurrentCapital
2017-09-06,open,0,long,47.028333333333336,139,6536.9383333333335,,8463.061666666666
2017-09-07,open,1,long,46.49333333333333,93,4323.88,,4139.181666666666
2017-09-12,open,2,short,46.70666666666667,30,1401.2,,5540.381666666666
2017-09-13,close,1,long,47.06333333333333,93,,0.012259822196730764,9917.271666666667
2017-09-15,close,0,long,47.605,139,,0.012262111493071427,16534.36666666667
2017-09-19,open,3,short,48.96666666666667,296,14494.133333333333,,31028.5
2017-09-22,close,2,short,49.666666666666664,30,,-88.79999999999995,29538.5
2017-09-22,open,4,short,49.666666666666664,193,9585.666666666666,,39124.166666666664
2017-09-29,close,3,short,49.44333333333333,296,,-141.09333333333234,24488.940000000002
2017-10-02,close,4,short,49.43666666666667,193,,44.38999999999942,14947.663333333336
2017-10-06,open,5,long,48.8885,125,6111.0625,,8836.600833333336
2017-10-13,open,6,long,48.05666666666667,114,5478.460000000001,,3358.1408333333347
2017-10-16,close,5,long,48.04666666666666,125,,-0.01721945515475711,9363.974166666667
2017-10-19,close,6,long,49.81333333333333,114,,0.03655406811403191,15042.694166666668
2017-10-19,open,7,short,49.81333333333333,273,13599.039999999999,,28641.73416666667
2017-10-20,open,8,long,49.35,153,7550.55,,21091.18416666667
2017-10-23,close,7,short,49.196666666666665,273,,168.34999999999854,7660.494166666669
2017-10-30,close,8,long,48.123333333333335,153,,-0.024856467409658935,15023.36416666667
2017-10-30,open,9,long,48.123333333333335,238,11453.353333333334,,3570.0108333333355
2017-11-06,open,10,long,45.57333333333333,88,4010.453333333333,,-440.4424999999974
2017-11-09,close,9,long,45.10333333333333,238,,-0.06275542010112922,10294.150833333335
2017-11-14,open,11,long,44.406666666666666,149,6616.593333333333,,3677.5575000000017
2017-11-16,close,10,long,44.586666666666666,88,,-0.021650087770626027,7601.184166666668
2017-11-17,close,11,long,45.27,149,,0.019441525296502112,14346.41416666667
2017-11-17,open,12,short,45.27,186,8420.220000000001,,22766.63416666667
2017-11-20,open,13,short,46.01666666666667,176,8098.933333333334,,30865.567500000005
2017-11-22,open,14,short,46.92000000000001,150,7038.000000000001,,37903.567500000005
2017-11-27,close,12,short,47.63666666666666,186,,-440.1999999999989,29043.147500000006
2017-11-27,open,15,short,47.63666666666666,158,7526.593333333332,,36569.74083333334
2017-11-28,open,16,short,48.39666666666667,187,9050.176666666666,,45619.9175
2017-11-29,open,17,short,49.74333333333334,269,13380.956666666669,,59000.874166666676
2017-11-30,close,13,short,50.65813333333333,176,,-816.8981333333322,50085.042700000005
2017-12-04,open,18,short,51.85,151,7829.35,,57914.392700000004
2017-12-05,close,18,short,51.196666666666665,151,,98.65333333333365,50183.69603333334
2017-12-05,open,19,long,51.196666666666665,140,7167.533333333333,,43016.16270000001
2017-12-07,close,15,short,50.45333333333334,158,,-445.0333333333356,35044.536033333345
2017-12-08,close,16,short,50.875,187,,-463.4483333333337,25530.911033333345
2017-12-11,open,20,short,51.580000000000005,41,2114.78,,27645.691033333344
2017-12-12,close,19,long,52.95333333333334,140,,0.03431212969594401,35059.15770000001
2017-12-12,open,21,short,52.95333333333334,168,8896.160000000002,,43955.317700000014
2017-12-14,close,21,short,52.38833333333334,168,,94.92000000000007,35154.07770000001
2017-12-21,close,20,short,53.071666666666665,41,,-61.1583333333333,32978.13936666668
2018-01-03,open,22,long,52.650000000000006,123,6475.950000000001,,26502.189366666677
2018-01-09,open,23,long,51.865,53,2748.8450000000003,,23753.344366666675
2018-01-19,close,23,long,51.66166666666667,53,,-0.0039204344612616,26491.412700000008
2018-01-19,open,24,long,51.66166666666667,86,4442.903333333334,,22048.509366666673
2018-01-22,close,24,long,52.98666666666667,86,,0.025647643320321278,26605.362700000005
2018-01-22,open,25,short,52.98666666666667,99,5245.68,,31851.042700000005
2018-01-23,close,22,long,53.54666666666666,123,,0.01703070591959452,38437.2827
2018-01-23,open,26,short,53.54666666666666,244,13065.386666666665,,51502.66936666667
2018-01-24,open,27,short,54.053333333333335,154,8324.213333333333,,59826.8827
2018-02-01,close,25,short,54.35333333333333,99,,-135.29999999999927,54445.9027
2018-02-02,close,26,short,53.38333333333333,244,,39.85333333333256,41420.369366666666
2018-02-02,open,28,long,53.38333333333333,114,6085.7,,35334.66936666667
Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit,CurrentCapital
2017-09-19,open,0,short,48.96666666666667,175,8569.166666666668,,17569.166666666668
2017-09-29,close,0,short,49.44333333333333,175,,-83.41666666666424,8916.583333333336
2017-10-06,open,1,long,48.8885,74,3617.7490000000003,,5298.834333333336
2017-10-16,close,1,long,48.04666666666666,74,,-0.017219455154757094,8854.287666666669
2017-10-19,open,2,short,49.81333333333333,160,7970.133333333333,,16824.421000000002
2017-10-20,open,3,long,49.35,90,4441.5,,12382.921000000002
2017-10-24,close,2,short,48.98,160,,133.33333333333394,4546.121000000003
2017-10-30,close,3,long,48.123333333333335,90,,-0.024856467409658817,8877.221000000003
2017-10-30,open,4,long,48.123333333333335,140,6737.266666666666,,2139.9543333333368
2017-11-06,open,5,long,45.57333333333333,52,2369.813333333333,,-229.85899999999629
2017-11-09,close,4,long,45.10333333333333,140,,-0.06275542010112907,6084.60766666667
Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit,CurrentCapital
2017-09-19,open,0,long,182.5633333333333,28,5111.773333333333,,3888.2266666666674
2017-09-28,close,0,long,186.26999999999998,28,,0.02030345633478797,9103.786666666667
2017-10-03,open,1,short,191.23333333333335,20,3824.666666666667,,12928.453333333335
2017-10-10,close,1,short,188.13333333333333,20,,62.000000000000455,9165.786666666667
2017-10-20,open,2,short,190.92,25,4773.0,,13938.786666666667
2017-10-26,open,3,short,198.95666666666668,24,4774.96,,18713.746666666666
2017-10-27,open,4,short,201.01333333333332,20,4020.2666666666664,,22734.013333333332
2017-10-30,close,2,short,199.10333333333332,25,,-204.58333333333303,17756.43
2017-10-31,close,4,short,197.45666666666668,20,,71.13333333333276,13807.296666666665
2017-11-06,open,5,short,203.87166666666667,17,3465.8183333333336,,17273.114999999998
2017-11-08,open,6,long,201.99333333333334,22,4443.8533333333335,,12829.261666666665
2017-11-09,close,5,short,197.96333333333334,17,,100.44166666666706,9463.884999999998
2017-11-09,open,7,long,197.96333333333334,12,2375.56,,7088.324999999999
