Date,Open/Close,PositionNum,Type,Price,Shares,Investment,Profit,CurrentCapital
2017-09-05,open,0,short,79.19666666666667,139,11008.336666666668,,26008.33666666667
2017-09-08,open,1,long,78.82833333333333,116,9144.086666666666,,16864.250000000004
2017-09-13,close,1,long,80.04333333333334,116,,0.015413239740364139,26149.276666666672
2017-09-15,close,0,short,80.13333333333333,139,,-130.1966666666649,15010.743333333341
2017-10-09,open,2,short,80.437,153,12306.860999999999,,27317.60433333334
2017-10-10,open,3,short,83.87333333333333,273,22897.420000000002,,50215.02433333334
2017-10-11,open,4,short,85.37333333333333,198,16903.920000000002,,67118.94433333335
2017-10-16,open,5,long,85.79333333333334,99,8493.54,,58625.40433333335
2017-10-19,close,2,short,86.2753,153,,-893.2599000000009,45425.28343333335
2017-10-20,close,3,short,87.05666666666666,273,,-869.0499999999956,21658.813433333355
2017-10-20,close,5,long,87.05666666666666,99,,0.014725308881808749,30277.42343333335
2017-10-23,open,6,short,88.27666666666666,97,8562.836666666666,,38840.260100000014
2017-10-30,close,6,short,87.097,97,,114.42766666666648,30391.851100000018
2017-10-30,open,7,long,87.097,66,5748.402,,24643.44910000002
2017-11-02,close,7,long,88.5884,66,,0.017123437087385274,30490.28350000002
2017-11-03,open,8,short,89.44,60,5366.4,,35856.68350000002
2017-11-08,open,9,short,89.92666666666666,62,5575.453333333333,,41432.13683333335
2017-11-10,open,10,short,90.93666666666667,69,6274.63,,47706.76683333335
2017-11-13,close,8,short,91.28000000000002,60,,-110.40000000000146,42229.96683333335
2017-11-16,open,11,short,98.00666666666666,319,31264.126666666663,,73494.09350000002
2017-11-20,close,10,short,96.96,69,,-415.6099999999997,66803.85350000001
2017-11-21,close,11,short,96.92,319,,346.6466666666638,35886.373500000016
2017-11-29,open,12,short,97.56666666666666,95,9268.833333333332,,45155.206833333345
2017-12-08,close,12,short,96.46266666666668,95,,104.87999999999738,35991.253500000006
2017-12-26,open,13,short,98.98333333333333,35,3464.4166666666665,,39455.67016666667
2018-01-05,close,13,short,100.04,35,,-36.983333333333576,35954.270166666676
2018-01-08,open,14,short,101.19,72,7285.68,,43239.95016666668
2018-01-10,close,14,short,99.36333333333334,72,,131.51999999999953,36085.79016666667
2018-01-10,open,15,long,99.36333333333334,66,6557.9800000000005,,29527.810166666673
2018-01-12,close,15,long,100.87,66,,0.015163205743231848,36185.230166666675
2018-01-12,open,16,short,100.87,57,5749.59,,41934.82016666667
2018-01-17,open,17,short,102.11333333333333,71,7250.046666666666,,49184.86683333334
2018-01-18,open,18,short,104.28666666666668,98,10220.093333333334,,59404.96016666667
2018-01-22,close,16,short,104.98,57,,-234.27000000000044,53421.10016666667
2018-01-26,open,19,short,107.82666666666667,51,5499.16,,58920.260166666674
2018-01-29,open,20,short,109.17333333333333,62,6768.746666666667,,65689.00683333335
2018-01-31,close,20,short,106.95,62,,137.84666666666635,59058.106833333346
2018-01-31,open,21,long,106.95,76,8128.2,,50929.90683333335
2018-02-01,close,19,short,105.75333333333333,51,,105.73999999999978,45536.48683333334
2018-02-01,open,22,long,105.75333333333333,20,2115.0666666666666,,43421.42016666668
2018-02-02,open,23,long,105.03333333333335,18,1890.6000000000001,,41530.82016666668
