,AAP,AMZN,AN,AZO,BBBY,BBY,BWA,KMX,CCL,CBS,CHTR,CMG,CMCSA,DHI,DRI,DLPH,DISCA,DISCK,DG,DLTR,EXPE,FL,F,GPS,GRMN,GM,GPC,GT,HBI,HOG,HAS,HD,IPG,KSS,LB,LEG,LEN,LKQ,LOW,M,MAR,MAT,MCD,KORS,MHK,NWL,NKE,JWN,ORLY,OMC,RL,PCLN,PHM,PVH,ROST,RCL,SNI,SIG,SNA,SWK,SBUX,TGT,TGNA,DIS,TIF,TWX,TJX,TSCO,TRIP,ULTA,UAA,URBN,VFC,VIAB,WHR,WYN,WYNN,YUM
0,72.9995,263.5567,48.0086,368.507,59.909,15.7818,37.0954,40.0155,38.7388,42.0559,81.2786,317.6576,19.4157,23.563,47.1895,38.773,69.8265,63.6229,45.9646,39.6168,66.236,34.55,13.1692,33.3609,37.8673,28.4552,69.1905,13.6408,9.6427,52.6212,38.056,66.4667,12.2023,45.8784,47.7367,29.3909,40.0587,23.0409,38.41,39.4307,40.5642,39.3972,95.0118,55.6298,102.4911,24.2099,27.0313,55.2318,92.7688,54.3125,176.6442,695.8278,19.7342,120.915,29.5705,35.8063,62.21,63.4013,80.64,77.3111,28.0241,62.4629,19.2057,54.8638,63.298,52.0762,45.4748,51.5579,48.098,99.6392,12.5737,43.126,36.0698,59.2489,109.1276,59.5441,122.7386,62.4577
1,77.7977,258.96,48.0455,379.0827,59.0305,15.5652,36.6698,39.3687,38.8459,41.9632,80.4918,317.4641,19.2052,23.1205,47.3445,38.2619,69.9764,63.8177,45.5171,39.3266,64.8317,34.4676,13.0919,32.2224,38.0619,28.4651,69.4635,13.5448,9.951,52.2566,38.361,66.2168,12.0308,45.8437,46.4733,29.5427,39.3458,23.1057,38.6504,40.1432,40.287,39.4863,94.4463,55.8106,101.4621,24.1085,27.2256,54.8858,100.8418,54.0651,175.8952,687.3883,19.3213,121.6477,29.9426,35.809,59.1703,62.8188,78.3177,76.6433,27.8215,62.293,19.0956,53.9846,62.6058,51.9125,45.2161,51.5353,46.4147,98.9037,12.4188,43.2927,36.3413,58.6477,107.6408,59.429,122.1989,63.5768
2,78.559,262.4721,48.6478,384.5152,59.6905,15.2862,37.279,39.8607,39.0071,42.707,80.748,319.5202,19.3526,23.0416,47.2103,38.3278,71.2309,64.6903,45.9805,40.8474,65.5234,34.8048,13.093,32.1862,38.2547,28.5861,69.8151,13.5975,10.1399,52.8968,39.4437,66.8672,12.1476,45.9669,45.9467,29.6549,39.0674,23.5181,38.98,40.027,40.9223,40.1417,95.1141,56.9862,102.5687,24.1912,27.3507,55.6338,102.1818,54.9404,177.6959,698.9739,19.3669,122.9227,30.5173,36.1127,60.1024,62.9762,78.4102,76.3511,28.1866,62.5373,19.4503,54.6122,62.7822,52.5842,45.638,51.7755,47.0127,99.2722,12.5653,42.7454,36.5242,59.3773,107.1972,59.785,125.4108,65.0124
3,77.9408,258.1975,48.0918,386.164,59.4164,15.592,37.4677,39.6178,38.7201,42.2797,79.6077,323.6017,19.2784,23.101,47.1268,38.8612,71.0303,64.291,45.7085,40.803,64.8715,34.7374,13.1144,32.6126,38.0356,28.5052,69.7827,13.7678,10.0952,53.5024,39.7341,66.4315,12.156,46.1117,45.6167,29.612,38.773,23.3508,39.0232,40.1159,41.0928,40.2802,95.1559,56.8505,104.4173,24.1398,27.557,55.4205,102.2564,55.2459,177.2062,695.4081,19.4324,120.0088,30.3714,36.1346,60.5871,62.7105,78.6383,76.0106,28.0592,62.3987,19.5372,54.7919,63.1192,52.0356,45.4494,51.6752,46.3217,99.2092,12.4106,42.5865,36.1224,59.2327,107.0156,59.6963,124.4744,64.7186
4,78.1082,258.8784,47.6915,383.2457,59.0919,15.4876,37.6467,39.5203,39.0195,42.9965,79.7857,323.5854,19.5915,24.0435,46.692,39.7219,70.9772,64.2612,45.1553,40.2789,65.272,34.8218,13.1193,32.2844,37.6522,28.5731,70.0635,13.6423,10.0729,53.2943,39.9025,67.1499,12.3557,46.0215,45.13,29.8856,39.9433,23.2267,39.6725,40.2085,41.3371,40.5435,95.0901,63.0682,106.4465,24.0598,27.5141,55.0893,101.4489,56.1528,177.1872,702.0287,20.1341,120.5228,30.2798,36.4147,61.1094,62.6018,78.9275,77.3797,28.1437,62.614,19.8345,54.9475,63.4429,52.3969,45.2401,51.5328,46.2467,98.852,12.4514,42.3572,36.3814,59.2369,109.778,59.6827,122.9828,64.6586
5,78.6513,266.435,47.0697,380.2661,59.0239,15.1207,37.666,39.4521,37.672,42.7352,80.0814,318.4691,20.4928,24.0277,45.7988,39.8968,71.5365,64.457,44.2814,39.8124,65.3588,33.7105,13.0391,32.044,38.3226,28.6579,70.2956,14.0622,10.0846,53.5275,40.3979,67.4179,12.3593,46.4545,44.87,30.197,39.9666,23.215,39.7246,40.0521,41.306,40.918,93.9215,61.9902,107.1508,23.9994,27.3554,55.3002,102.3059,56.6476,176.2611,703.4577,20.2447,120.5606,30.4189,35.6122,61.8468,62.4794,78.6434,77.371,27.9023,62.807,19.8096,54.9448,63.4656,52.7575,45.1807,51.4475,46.4038,99.1342,12.2405,41.6608,36.2675,59.4578,111.2028,59.1389,123.0229,64.3826
6,78.9844,268.7378,46.9104,375.3538,58.7596,15.7356,37.6825,39.614,37.1756,42.5969,79.6018,316.7065,20.1744,23.8316,45.5836,39.9511,70.14,63.263,44.9276,39.4939,65.1348,33.3319,13.0998,31.4197,38.7344,28.2882,70.6284,14.0841,10.1077,53.5384,40.6621,67.3131,12.4581,46.8486,44.36,30.3874,39.9717,23.1857,39.6132,39.5547,41.1128,41.0727,93.5928,61.8931,107.3666,24.1943,27.2875,55.1048,101.7295,57.0714,174.5975,703.4775,20.2702,120.2712,30.2261,35.4659,62.1401,62.636,79.5698,77.8401,27.8242,63.0311,19.8442,54.9643,63.5155,53.4566,45.2039,52.0261,43.626,88.1085,12.1942,41.5375,36.1778,59.5981,110.9192,58.9134,122.6356,64.0279
7,78.9221,265.6845,46.4196,373.7055,58.0522,16.4597,38.0616,39.6757,37.1174,44.2749,79.5409,314.6326,20.4701,23.8125,45.391,39.9815,70.545,63.1583,45.0841,40.8764,64.8626,33.5315,13.0584,32.7663,39.4474,27.6651,71.1387,14.1552,10.063,52.8716,40.6901,67.5102,12.5575,46.3948,44.1167,30.6971,39.7073,23.264,39.2553,39.2255,41.3568,41.0401,93.8618,63.1017,108.1872,24.2738,27.4491,55.3655,101.8543,57.7056,176.2383,701.551,20.3961,120.1878,30.0136,35.6286,62.482,62.4768,79.388,78.5021,27.392,61.7009,20.1114,55.1777,64.5803,53.6458,44.9689,52.1272,44.3324,87.7827,12.3942,41.418,37.4546,59.6172,111.0246,59.4035,122.8205,63.9909
8,80.2546,267.6945,45.3097,374.0351,58.0574,17.445,38.3888,39.7886,36.4828,44.8373,79.4482,313.7563,20.7056,23.4161,45.2431,39.7564,70.3716,62.9781,43.9727,40.3738,64.4706,33.8075,12.9699,32.4564,39.1473,27.6048,69.199,14.1321,9.966,52.4637,40.6288,67.4436,12.5562,46.4538,44.1733,30.6409,38.974,22.6617,39.2674,39.9032,40.8425,41.0288,94.0104,64.2024,108.0311,23.966,27.2771,56.0089,101.8725,57.3418,176.622,703.0022,19.9728,120.6538,29.8133,35.262,62.2974,62.8541,79.6705,79.0627,27.1872,61.7617,20.459,55.7256,65.1265,53.636,44.9316,51.6776,43.7849,85.2466,12.492,41.7156,38.4619,59.9591,111.2324,58.7796,120.0633,64.9143
9,79.9247,270.7753,44.9067,379.1487,57.6879,17.0817,38.0973,39.7749,35.8613,44.2488,78.8669,310.9148,20.666,22.2602,45.2182,39.2796,70.2143,62.6696,43.9221,40.3757,63.5772,34.3591,12.692,32.5851,35.4087,27.3386,69.2392,13.9532,9.8582,51.9645,41.1379,66.7939,12.5017,47.2256,44.3733,30.243,37.3837,22.6729,39.1237,39.8905,40.0023,40.931,94.0601,62.5086,105.824,23.7681,27.1611,55.6397,101.7328,57.3354,174.9019,696.736,19.0922,119.6637,29.6101,34.8758,62.182,62.4104,79.5343,78.2057,26.879,62.6076,20.3557,55.0436,64.8389,53.4644,44.7445,51.0555,43.0577,86.5122,12.3297,41.4839,38.5789,59.2551,109.9643,57.9693,118.0182,64.9644
