,MO,ADM,BF.B,CPB,CHD,KO,CL,CAG,STZ,COST,CVS,DPS,EL,GIS,HRL,SJM,K,KMB,KR,MKC,TAP,MDLZ,MNST,PEP,PM,PG,SYY,CLX,HSY,TSN,WMT,WBA
0,34.108,30.084,32.3941,37.0075,29.7191,38.2804,54.6042,33.0371,31.2223,101.9419,51.3759,46.1099,63.5391,42.2276,17.7193,89.0959,58.8048,90.2788,13.9095,62.7605,44.1734,27.9936,16.513,72.8559,87.6696,75.7409,31.3897,80.6929,80.1686,23.3399,70.9988,41.2776
1,34.4269,30.3208,32.4996,37.2692,29.5292,38.7916,54.939,33.1845,31.4796,101.6834,51.0974,45.9961,62.8452,42.416,17.7453,88.8433,58.8634,90.8808,13.9761,63.3466,44.2699,27.8599,16.1518,72.7235,88.9617,76.0994,31.5047,80.723,80.1474,23.6565,71.1618,41.2912
2,34.693,30.2462,32.5146,37.9188,30.0326,38.7271,54.8266,33.3117,31.9879,102.4877,51.2102,45.7857,62.9617,42.5758,17.8733,89.106,58.9729,91.146,14.0661,63.6116,44.3886,27.882,15.7358,72.6106,90.3828,75.969,31.5153,80.8084,80.1859,23.7107,71.3971,41.4204
3,34.7297,30.2866,32.1343,38.1416,29.8821,38.593,54.1839,33.3762,31.3053,102.1389,51.274,45.4792,61.7646,42.6107,17.854,88.7316,59.1008,90.5187,14.275,63.7495,44.172,27.7399,15.7962,72.3515,90.4592,75.7219,31.6558,80.3772,80.3037,23.5984,71.1764,41.4195
4,34.678,30.5766,32.164,38.1878,29.9074,37.6307,54.085,33.3494,31.4921,101.8745,51.2144,45.3768,62.4378,42.8623,17.7972,90.0724,59.21,89.9252,14.2227,63.972,44.1751,27.6558,15.6196,72.2545,90.2598,76.0784,31.5173,80.4349,80.6655,23.5341,71.4333,41.8211
5,34.7189,30.9189,32.0801,38.2048,29.7973,37.2652,53.8847,33.4426,31.8178,101.6069,51.0091,42.6448,63.1773,42.9342,17.8751,90.1597,59.2183,89.7352,14.2402,64.0263,44.4128,27.6511,16.0087,71.4633,91.0491,76.3682,31.7773,80.9576,81.1254,23.7908,71.3974,41.3521
6,34.3927,31.2641,32.1455,39.2948,29.7468,37.0028,54.1058,33.7928,42.8268,101.7422,51.6301,42.8528,63.3856,44.0889,17.9526,91.6036,59.6922,90.2101,14.1408,64.4116,44.357,26.7655,15.7519,72.4771,90.4512,76.7213,31.9779,81.2886,81.1998,24.1279,71.0072,41.6173
7,34.3467,32.1916,32.5289,39.2462,29.9865,37.051,54.8604,33.7284,43.5445,102.0279,51.3802,42.8801,63.4596,44.4429,18.0108,92.7212,59.6796,90.876,13.9818,64.7008,43.6265,26.7693,16.8593,73.2389,90.0513,76.6047,32.0854,81.8056,80.9929,24.0944,69.1034,41.4141
8,34.6267,32.879,33.0494,39.9518,30.0784,37.6137,55.7375,33.5337,43.3347,101.8482,52.3704,42.9836,63.2887,45.2317,18.1623,91.9184,60.0332,91.8889,14.0615,65.0584,44.66,26.9929,16.5452,75.0553,90.788,77.3019,32.2536,82.2778,81.4752,24.1103,68.9548,41.5457
9,34.9496,32.6123,33.2375,40.0558,30.1613,37.7198,56.2436,33.793,42.5488,101.7333,52.1736,42.792,63.8812,45.4675,18.1579,92.0104,59.863,92.0899,13.9305,65.2688,44.967,27.0416,16.7812,75.5711,92.262,77.2035,32.5542,82.5874,81.314,23.8867,69.195,41.7763
10,35.0988,32.1408,32.9232,39.6214,30.0761,37.6832,56.4479,33.6851,42.9305,100.8216,51.7739,42.4958,63.1316,45.3114,18.322,91.9276,59.4957,91.8652,14.3019,65.4591,44.4105,26.8281,16.6197,75.1883,93.0381,76.8745,32.631,82.3457,80.3329,23.4048,70.6889,41.5437
11,35.1614,32.1393,33.3091,40.004,30.692,38.3207,56.9314,33.8543,43.6214,100.9582,51.4252,42.8799,63.2082,45.5459,18.4655,92.7647,59.8868,94.0492,14.3619,65.9356,45.9126,26.884,16.9185,75.4376,93.1739,76.9469,32.7237,82.9299,80.9083,23.7837,70.243,41.767
12,35.0447,32.0844,33.2449,40.1735,30.7832,38.1117,57.364,33.7958,44.163,101.0391,51.1276,43.1516,62.6339,45.723,18.461,92.487,59.6406,95.0615,14.3266,65.9223,46.6438,26.8416,16.7078,75.7115,92.572,76.7231,32.4104,83.0942,81.3442,23.5953,70.8797,41.2231
13,34.3867,31.6536,32.84,40.3426,30.7712,37.9917,56.8458,33.6657,44.3836,99.8067,50.5665,42.8186,61.9816,45.8573,18.4303,92.575,59.7034,94.2789,14.2992,66.4292,45.2659,26.7561,16.3172,75.4243,91.6423,76.0452,31.891,83.475,81.2205,22.261,71.0382,40.7047
14,33.8778,31.9757,32.8168,40.5136,30.9925,38.3463,57.1681,33.9222,44.7227,100.6863,50.9288,43.1256,63.3649,46.1686,18.6132,94.8111,60.2755,94.8788,14.4891,66.9584,44.7091,27.4083,16.3957,75.2615,91.3271,76.434,32.0784,84.0324,82.0668,22.5749,71.3625,41.0119
15,33.7456,31.9867,32.8806,41.1984,31.0149,38.782,57.4106,34.205,44.2406,101.5282,51.3062,43.4923,64.2427,46.3181,18.7325,95.4062,60.5164,94.9492,14.6464,67.3264,44.2798,27.6772,17.2953,75.7367,91.7906,76.451,32.2339,84.4355,83.3036,22.6711,71.1239,40.9746
16,33.5116,31.8537,32.8003,41.7552,30.6746,38.668,56.9987,34.1354,43.9033,101.0744,51.4245,43.7038,64.1715,46.2933,18.6714,95.8078,60.4172,94.2578,14.7002,68.0175,44.8447,27.5707,16.7548,75.7709,91.613,76.3079,32.3247,83.8268,83.2665,23.1107,71.6402,41.1443
17,33.8526,31.9799,33.3229,41.8,30.6826,38.6517,57.2597,34.611,44.2373,102.7341,51.5556,43.6492,64.5876,46.3957,18.8973,96.2358,60.8129,94.6648,14.7243,68.8285,45.1588,28.2284,16.5667,76.3399,92.2345,76.3229,32.6462,83.8016,84.2724,23.2058,72.6894,41.4722
18,34.0368,32.2265,33.9492,41.7806,30.8241,38.7306,57.9045,34.8074,44.2708,103.1241,52.2019,44.1676,66.0621,46.5432,19.0891,97.1219,61.482,95.9611,14.7856,69.7506,46.532,28.5301,16.4171,76.8002,92.2757,77.051,32.8434,84.6833,85.155,23.342,73.7207,40.5904
19,34.1167,32.2939,33.9035,41.4688,30.6289,38.9302,57.6741,34.802,43.492,102.6586,52.3324,44.0903,65.941,46.4959,19.0554,96.8703,61.3566,94.8206,14.7329,69.7633,46.6682,28.5198,16.2354,76.8279,91.7393,77.1978,32.7606,84.845,84.7402,23.5667,73.57,40.1611
20,33.927,32.5421,33.7165,41.5101,30.5689,39.0618,57.8785,34.7326,43.7169,102.6954,51.949,43.898,65.9693,46.5396,19.2236,96.9868,61.5306,94.3688,15.1718,70.2582,46.6265,28.5508,16.031,76.9758,91.6949,77.0686,32.7781,84.371,84.6601,23.8977,73.3763,40.0785
21,33.9795,32.5532,33.6802,41.3508,30.5172,39.1692,57.7635,34.7459,44.2195,102.8188,52.1079,44.0158,65.6001,46.4006,19.2469,97.0985,61.4985,94.0366,15.425,70.1571,47.0367,28.5448,15.8692,77.0354,91.184,76.8834,33.1064,84.1504,84.2094,23.9969,73.068,40.524
22,34.2517,32.4683,33.9826,41.5268,30.5188,39.2697,57.7722,34.7837,43.5744,102.6954,52.494,44.0784,65.7304,45.8766,19.2528,97.2433,61.5507,94.1261,15.4403,70.1412,48.2155,28.5043,15.565,76.9839,91.2461,77.2398,33.5224,84.5827,84.3195,23.8217,72.9988,41.0897
23,34.1815,32.5236,34.0907,41.4693,30.5089,38.9869,57.6276,34.6499,43.2779,104.2674,52.0142,44.3615,65.9694,46.1405,19.246,97.4734,61.6802,94.125,15.4489,70.2038,48.0946,28.2772,15.3638,76.8698,90.7853,77.2217,33.4546,84.4656,84.2639,23.8464,73.4709,41.0127
