,APC,APA,COG,CHK,CVX,XEC,CXO,COP,DVN,EOG,EQT,XOM,FTI,HAL,HP,HES,KMI,MRO,MPC,MUR,NOV,NFX,NBL,OXY,OKE,PSX,PXD,RRC,SLB,SWN,RIG,VLO,WMB
0,83.2334,84.7877,27.1023,20.4252,115.5295,65.902,91.5067,57.4631,58.1014,64.626,61.8218,89.5871,47.8723,40.2621,63.9693,66.5224,37.2875,34.1672,38.8278,60.1913,66.6049,29.6853,56.2646,88.2655,47.4623,61.6703,123.4924,70.6634,78.7664,34.3187,55.8754,45.5315,35.5571
1,83.936,83.988,27.0286,20.3442,114.9572,66.0928,91.8417,57.6289,59.2696,64.7161,61.8915,88.1465,48.0509,40.5492,64.4208,66.3707,37.6031,33.9282,39.163,59.8814,67.5565,29.731,56.5755,88.1495,47.6879,62.2751,124.0688,70.8089,78.2139,34.6243,56.2229,45.3853,35.8392
2,84.4338,84.7303,27.4032,20.2833,115.4898,66.4541,96.1288,57.8442,60.0876,66.3242,61.6782,88.459,48.5129,41.1038,64.2167,67.3444,37.6076,34.3999,40.5245,59.9684,68.9301,29.772,57.4484,88.3063,47.7797,64.2082,128.1958,71.8898,78.7732,34.3898,56.2123,46.0215,36.0011
3,83.4803,83.9999,27.1396,20.0953,115.501,66.4355,96.0291,57.6116,59.6765,66.4709,61.1792,88.3219,48.4416,40.9809,64.941,66.6307,37.6218,34.4466,40.89,60.1569,68.5268,29.3572,56.3867,87.3865,47.7397,64.2506,127.5884,70.8469,78.1291,33.8064,55.8977,46.3646,35.7498
4,83.3398,84.003,27.3124,19.9847,116.3985,67.0446,96.3222,58.1562,59.4392,67.0425,60.8859,88.3718,48.2338,40.8414,65.1094,67.0334,37.6496,34.439,40.5168,60.2123,68.8689,29.4189,56.1205,87.0336,47.9994,64.335,129.2338,70.8994,78.4079,33.351,56.1733,45.8124,35.6889
5,83.8517,84.0336,27.6107,20.4257,115.3533,67.4402,94.7235,58.4021,61.2324,66.6183,60.812,88.5032,50.6211,40.8658,65.5429,67.7967,37.7709,34.8919,40.7198,60.2754,68.8612,29.8385,56.311,86.8615,47.9917,64.0648,127.1624,71.1583,78.5039,33.537,57.1373,46.0565,35.6488
6,84.0757,81.9937,27.6409,20.3976,115.7513,67.6674,95.8244,58.0071,61.1283,67.486,60.7206,88.4688,51.0281,42.893,67.3213,68.4742,37.5861,35.1452,41.3933,60.0973,70.1738,28.4564,56.1373,86.9104,47.7899,64.5022,127.9524,71.6504,80.6297,33.5679,58.4712,47.0342,35.5686
7,82.4377,77.7737,26.9244,20.0739,114.9113,65.4997,95.7673,57.2758,59.3219,64.8832,59.6382,88.2754,51.6001,42.6732,67.5645,67.5329,37.6138,34.6135,41.1005,61.1229,69.4715,27.3237,55.8962,85.4374,47.7185,64.2557,130.0945,70.4308,80.1872,32.9827,56.3209,47.162,35.1589
8,83.435,76.9551,27.692,20.3374,115.8605,66.2133,97.4194,58.1615,59.9519,65.4483,60.4474,89.0767,52.8258,42.9901,68.8115,68.0407,37.4682,35.5054,41.7496,61.9211,69.7219,27.2361,56.6878,85.7659,47.7647,64.3445,131.9552,71.7369,79.9464,33.2541,56.2416,47.3573,35.2972
9,81.5209,76.1023,27.115,20.3079,115.4178,67.8975,96.011,58.0478,57.8054,64.721,59.8084,89.3853,52.0632,42.1445,66.422,66.8985,37.3591,35.0579,41.1357,61.5491,68.3578,25.5279,56.0943,85.2158,47.7348,63.6789,128.8515,70.9252,79.0445,33.1993,55.1814,46.1708,35.097
