,AMG,AFL,ALL,AXP,AIG,AMP,AON,AJG,AIZ,BAC,BBT,BRK.B,BLK,HRB,COF,CBOE,SCHW,CB,CINF,C,CME,CMA,DFS,ETFC,FITB,BEN,GS,HIG,HBAN,IVZ,JPM,KEY,LUK,LNC,L,MTB,MMC,MET,MCO,MS,NDAQ,NTRS,PBCT,PNC,PFG,PGR,PRU,RF,SPGI,STT,STI,TROW,BK,TRV,TMK,USB,UNM,WFC,XL,ZION
0,144.7572,50.9353,44.1959,60.4022,38.6667,66.3073,55.5252,37.9967,38.6793,11.8776,30.8146,,238.0898,23.7792,57.4901,34.1801,16.7049,85.27,43.799,42.819,56.8377,35.005,39.3284,10.8975,16.5293,46.7126,150.2533,24.401,7.1083,27.3962,48.5705,9.481,26.1234,29.377,43.6388,103.8562,36.6564,37.3638,47.012,23.3675,28.8534,51.9906,12.5353,63.289,30.5465,23.1269,58.4326,7.9303,44.7214,56.2987,28.6686,72.8164,27.4942,78.5079,37.0597,33.3857,23.8418,34.8659,27.6417,24.0431
1,145.1308,50.2938,45.0253,61.7588,38.4137,66.0829,55.8894,37.964,38.97,11.8417,30.6589,,236.3648,23.9323,57.2488,34.2774,16.9582,85.2603,44.8356,42.8392,56.8651,35.0662,39.1908,10.8839,16.4874,46.5498,150.5344,24.1475,7.1125,27.2692,48.2702,9.5104,26.4005,29.1028,43.7175,103.6245,36.4975,36.8589,46.6198,23.0207,29.1085,52.4054,12.5278,63.45,30.4447,23.1772,56.7116,7.9293,43.9933,56.2788,28.7276,72.7169,27.7032,78.7389,36.9223,33.5058,23.629,34.69,27.7123,23.933
2,146.3229,50.2678,45.0987,61.8754,38.7954,66.448,56.221,37.9209,38.5066,11.798,30.6249,,238.0186,24.3009,57.1398,34.3513,16.9761,85.8644,44.471,42.7234,57.1377,35.2156,39.8947,10.9752,16.5142,46.6892,151.3924,24.215,7.1573,27.275,48.5477,9.5385,26.7444,29.3167,43.7499,104.1864,36.4635,36.8834,43.5682,23.264,29.4124,52.6119,12.5518,63.4183,30.7615,23.2982,57.2991,7.9212,42.9218,56.5235,29.1203,73.1855,27.8864,78.6864,37.0076,33.6249,23.9682,34.8101,28.3078,24.0745
3,145.6479,50.2279,45.244,61.7806,39.2489,66.5067,56.5155,37.8579,38.5702,11.8458,30.6573,,239.2182,24.374,56.566,34.6114,16.7266,86.3863,44.5484,43.1216,56.9625,35.0439,39.9627,11.054,16.461,46.7055,152.0568,24.3078,7.1385,27.4477,48.6212,9.4966,26.6353,29.576,43.4967,104.0319,36.3864,36.935,44.8973,23.3474,30.5911,52.6704,12.5867,63.9061,31.0291,23.5165,57.3506,7.9205,43.7974,56.7196,29.3522,73.1176,27.8095,79.0702,37.1424,34.0797,24.1186,35.2224,28.3847,24.1875
4,145.9688,49.6313,45.4856,62.2706,39.1166,67.2847,56.6986,37.8541,40.6297,12.1546,30.5501,,239.8124,24.6633,55.816,34.9822,16.8597,86.775,44.558,44.1149,57.1232,35.043,39.732,11.2127,16.5439,47.3268,153.6496,24.3747,7.1715,27.6944,49.0795,9.4972,26.8988,29.7116,43.6246,105.1933,35.5936,37.0512,46.5015,23.5209,30.6429,52.95,12.7224,64.4928,31.1515,23.6918,56.976,7.9187,44.2659,56.9342,29.4387,73.7332,27.8842,79.8395,37.2881,34.2798,24.1557,35.3932,28.4407,24.417
5,146.1201,48.8782,45.782,62.3091,38.9068,67.8446,57.1775,38.4302,41.2017,12.2502,30.5148,,242.2167,24.8525,55.435,34.9681,16.9384,86.5615,44.6551,44.174,56.9565,35.1668,39.3715,11.2979,16.2077,47.4758,154.2792,24.4389,7.1602,27.6331,48.8968,9.4907,27.0205,30.1608,43.9924,104.9789,36.2743,37.5621,46.321,23.6252,31.3279,53.2615,12.8486,64.2491,31.3862,24.2656,57.3143,7.909,44.166,56.9579,29.1334,74.1585,28.256,80.0042,37.3717,33.9864,24.4967,35.137,28.4646,24.8034
6,146.9162,48.6652,45.853,62.3438,38.9113,68.6148,57.3381,38.7497,41.799,12.1802,30.4082,,244.2092,24.8515,55.1856,35.5651,16.8908,86.4967,44.6961,44.1793,57.8777,35.2262,39.3582,11.324,16.124,47.9299,155.747,24.4616,7.1427,27.6858,48.9506,9.4818,27.41,30.3084,44.0426,104.5103,36.182,36.5953,46.8325,23.7552,30.6913,53.0198,12.8612,63.9719,31.492,24.1062,57.0221,7.867,44.5861,57.1619,28.8195,73.9351,28.1285,80.1655,37.2796,33.9475,24.4228,35.1347,28.2809,24.6226
7,146.9108,49.1256,45.9752,61.9713,38.7224,68.9672,57.0792,38.7706,41.8354,12.0684,30.3216,,243.9963,25.0918,54.4655,35.949,16.8832,86.4645,44.7479,44.0251,58.4481,34.918,39.3874,11.3274,16.0826,48.0851,155.2007,24.3244,7.1262,27.3885,49.0726,9.4693,27.1981,30.3812,43.9084,104.6374,36.0709,36.8013,46.7341,23.7107,31.0964,53.4223,12.9331,63.9903,31.6806,24.1746,57.3842,7.878,44.8462,57.3293,28.27,73.1154,28.0703,80.3915,37.3842,33.9306,24.4907,35.1562,28.6476,24.4193
8,148.3461,49.3512,46.4969,62.1116,38.6359,68.9647,57.615,38.8194,42.1138,12.2113,30.3561,,243.5689,24.6584,53.3164,35.7843,17.0055,86.8768,45.0072,44.4339,58.975,35.3725,39.4158,11.2693,16.0006,48.521,157.2778,24.5514,7.141,27.5772,49.4513,9.5745,27.1021,30.6497,43.9258,105.256,36.1007,36.8777,47.8882,24.1455,31.4189,53.7132,13.0447,63.6989,32.1183,24.4334,57.9554,7.9071,45.5977,57.2108,27.7074,73.654,28.1651,80.756,37.6969,34.0357,24.665,35.1666,28.8117,24.5301
9,146.8439,49.9956,46.6904,62.151,37.9963,68.5025,59.0347,38.8374,41.5938,11.9951,30.1249,,241.0194,24.7138,52.3338,35.6233,16.8438,86.6457,44.7927,43.7378,58.2647,34.9726,39.139,11.1599,15.9063,48.1049,156.5474,24.5406,7.0805,27.4568,48.9439,9.4555,27.3029,29.9564,43.5881,105.0321,36.2142,36.1643,47.6225,23.7597,31.281,53.5336,13.0329,63.2746,31.7708,24.4343,56.7918,7.8047,45.7832,57.1313,27.733,72.7878,28.0039,80.3809,37.4495,33.9173,24.3649,35.152,28.6716,24.3918
