,ABT,ABBV,AET,A,ALXN,AGN,ABC,AMGN,ANTM,BAX,BDX,BIIB,BSX,CAH,CELG,CNC,CERN,CI,DVA,XRAY,EW,ESRX,GILD,HCA,HSIC,HOLX,HUM,IDXX,ILMN,INCY,ISRG,JNJ,LH,LLY,MCK,MDT,MRK,MTD,MYL,PDCO,PKI,PRGO,PFE,DGX,REGN,SYK,COO,TMO,UNH,UHS,VAR,VRTX,WAT,ZBH,ZTS
0,34.1068,37.0897,49.5694,44.9552,93.8946,86.6782,46.3638,86.6734,65.5444,68.9927,87.7126,163.4027,7.6239,44.3418,48.9809,22.2679,42.871,59.6138,58.6645,42.358,42.6827,54.8309,39.9788,37.347,44.1292,22.359,81.011,46.8987,51.784,18.3606,190.3888,75.1029,90.453,53.8643,102.3354,46.6519,41.0615,217.1462,28.7525,36.9697,34.3963,106.4649,27.3877,57.9337,168.0832,62.9372,101.9385,73.8127,57.269,56.7515,71.2,45.8118,91.8185,74.6372,31.0021
1,34.2332,36.4223,49.3917,44.8458,92.7005,86.6362,46.2928,85.616,65.5148,68.5939,87.5881,160.1301,7.6524,44.6497,48.8473,22.293,43.1132,60.6222,59.1701,42.4697,42.8815,54.9413,39.945,37.0871,44.1942,21.7704,81.0998,46.9125,51.5425,17.8471,189.2914,74.955,91.4115,53.5772,103.0383,46.6376,41.0209,219.1732,28.7647,37.1802,34.4422,106.8933,27.0593,58.6734,163.9719,62.7302,102.7086,73.5544,57.0212,56.9865,71.3388,45.5023,91.3576,74.7687,31.9323
2,34.4003,36.1018,50.5926,45.1198,93.582,87.2309,46.7774,86.5006,66.2667,69.0601,88.3213,164.628,7.6746,45.0632,49.9893,23.0679,43.9411,61.8706,59.5793,42.8043,43.3233,55.7298,40.9475,37.3027,44.5079,22.2094,81.5221,46.87,51.2294,18.1319,192.4467,75.3535,89.999,53.733,103.6878,47.0552,41.0703,221.3887,28.8545,37.2971,34.7479,107.9128,26.8733,58.4776,165.4785,63.7147,104.3045,74.4497,57.8642,58.0771,71.3517,46.0606,92.2466,75.7992,32.9728
3,34.3419,35.9092,50.2751,44.6626,92.6193,86.6145,46.691,85.0771,65.9688,68.756,88.0004,163.9403,7.65,45.2025,50.2143,22.2534,43.5921,61.5359,59.3174,42.7768,43.3128,55.089,40.3931,36.8677,44.6382,22.3481,80.3201,46.73,50.3812,18.4636,190.2447,75.3381,90.4231,53.9031,103.5059,47.112,41.3155,219.1192,28.8141,37.0221,34.5952,110.8397,27.116,58.206,174.329,63.7413,104.0165,74.355,57.25,57.2882,71.0016,45.8424,92.3134,75.5997,33.1476
4,34.3684,35.5612,50.3174,44.6751,90.7345,86.0951,46.8888,84.6316,65.9368,68.91,88.605,165.0895,7.6211,45.4996,49.6945,22.4132,43.7469,61.9321,59.1665,42.8838,43.6605,54.5548,40.6966,36.2132,45.1457,22.3601,79.337,46.5648,50.1182,18.3861,190.2786,75.7029,89.6261,53.8054,104.6415,47.1754,41.3916,218.9957,28.8389,37.2942,34.5424,111.7274,27.0793,57.1358,168.5535,63.9074,104.5095,74.5051,57.0335,56.5072,71.3372,45.7211,92.1004,75.5292,33.5334
5,34.4569,35.2533,49.6859,44.8788,90.5759,86.3699,46.758,84.863,63.3601,68.3449,88.5195,165.4163,7.4558,45.4928,49.3644,22.6106,43.8795,61.7779,59.3681,42.9828,43.4369,55.0405,41.3123,36.9146,44.7256,22.0581,78.2579,46.0874,50.1063,18.391,191.1372,75.6124,89.6342,53.3692,105.0375,47.0621,41.1555,218.3258,28.8491,37.2049,34.6407,111.7572,26.947,56.8761,169.3691,63.8274,104.265,75.0736,57.1179,56.9277,71.2829,46.2855,93.0832,76.0396,33.3736
6,34.5923,36.0215,49.6543,44.1297,88.1315,86.2041,46.7807,85.1096,63.36,68.3005,88.0807,164.7874,7.5241,46.1302,49.7493,22.643,43.9218,61.6241,59.43,42.8916,43.2391,55.4291,41.5191,36.8985,44.2576,22.1444,77.9938,45.9499,48.9549,20.094,190.5134,75.8217,89.5516,53.4086,104.5957,47.0201,41.0359,217.3769,29.0316,37.1182,34.5392,112.4679,27.0192,56.7101,166.411,63.9365,103.9367,74.8305,57.0725,57.7611,71.1104,45.7913,93.1841,76.18,33.0293
7,34.9889,37.5183,49.4409,42.8488,86.6452,85.6223,46.7476,83.8423,63.1159,68.2334,88.4009,167.8574,7.5034,46.4227,49.5245,22.9949,44.0174,61.3261,58.5966,42.7721,43.1459,55.105,41.52,36.5319,44.4223,22.0065,78.1404,45.6384,48.5732,21.7324,189.8869,75.8802,89.5865,53.6863,103.7366,46.9086,41.3444,214.8516,29.154,37.1281,34.1793,113.2265,27.2851,56.9936,164.939,63.6362,104.0974,74.3262,57.2137,57.7102,70.3428,45.6424,92.7688,75.7857,33.7837
8,34.9368,37.8318,48.3273,42.8814,83.4968,85.3019,47.0825,83.7729,62.0911,68.2319,88.5166,166.7778,7.4521,46.5645,49.8341,22.8364,44.2267,59.633,57.7406,43.2111,43.2614,57.0141,42.3903,36.1966,44.7536,21.8209,71.6011,45.9168,49.117,21.7811,192.8154,76.768,90.323,53.9913,103.967,45.7284,41.9994,216.8383,29.1064,37.2617,34.1722,114.4732,27.5803,57.5243,161.7138,63.6795,104.6052,74.861,55.9556,57.2535,70.6233,46.321,93.106,75.9729,33.8246
9,34.66,38.6492,48.3678,42.582,84.4702,83.502,46.8325,84.9986,62.6765,67.8125,87.8737,166.356,7.3701,46.2837,51.099,22.7933,43.8568,59.7926,58.1583,42.9856,43.299,57.455,42.4012,35.6734,44.4736,21.687,72.6677,46.0651,48.817,21.4165,187.2292,76.7624,89.9605,54.4706,103.4673,44.8435,42.5428,215.9792,28.8604,37.1159,33.5802,114.5481,27.6488,57.2137,159.4657,63.3094,103.7633,73.0386,55.6366,57.3687,70.0033,46.0392,92.3959,75.7181,33.0361
