,MMM,AYI,ALK,AAL,AME,ARNC,BA,CHRW,CAT,CTAS,CSX,CMI,DE,DAL,DOV,DNB,ETN,EMR,EFX,EXPD,FAST,FDX,FLS,FLR,FBHS,GD,GE,GWW,HON,ITW,IR,JBHT,JEC,JCI,KSU,LLL,LMT,MAS,NLSN,NSC,NOC,PCAR,PH,PNR,PWR,RTN,RSG,RHI,ROK,COL,ROP,R,LUV,SRCL,TXT,TDG,UNP,UAL,UPS,URI,UTX,VRSK,WM,XYL
0,102.5892,69.6163,23.6492,,41.2699,26.8004,76.1146,60.6579,97.945,42.5123,21.6221,120.1707,92.7668,14.2576,71.088,84.5415,59.3626,57.2067,59.4267,43.224,49.9799,105.7183,52.1291,65.0314,32.6798,66.0118,22.3962,217.6442,69.7777,62.3425,52.5334,68.1705,48.4171,31.798,94.4674,76.337,87.1931,18.2652,32.2801,69.1825,65.0322,47.8367,93.3792,50.9369,28.4513,53.3462,31.3817,35.7623,90.8352,59.4641,118.9898,58.9416,11.3842,94.8294,28.9294,139.2729,66.4886,25.0979,80.6231,52.044,89.2835,54.627,35.9922,27.8578
1,102.0589,68.5852,23.7803,,41.0249,26.7389,76.9789,59.4265,96.1414,42.6711,21.6057,118.6911,92.0433,14.7122,71.0602,84.4841,59.003,57.244,56.2613,42.8721,49.7748,106.4972,51.6512,64.5881,33.0194,66.544,22.4065,216.0673,70.0077,61.9944,52.0414,68.0233,48.1064,31.7464,94.8536,76.708,87.2277,17.9085,32.4251,68.5872,65.4875,46.9273,93.6608,50.5261,28.4694,53.8265,31.7358,35.5271,90.3647,59.8455,118.3282,58.3417,11.543,97.9216,28.7667,141.6672,66.0151,25.5935,81.3079,52.0913,89.3878,54.1835,36.4607,27.278
2,102.7528,70.1732,24.2901,,41.4445,26.8105,76.667,59.6207,96.8786,42.8759,21.8579,119.2143,92.689,14.6449,71.0737,84.1518,59.0895,57.6385,55.3974,43.2028,50.6323,106.6668,52.3518,63.7229,33.4392,66.7393,22.4928,216.5996,70.5479,62.4673,53.0348,68.9826,48.0932,32.1631,94.7442,77.5446,87.8707,17.7911,32.6512,68.9008,65.9161,47.5309,94.1667,50.961,28.458,53.999,30.8189,35.4622,90.9646,60.5034,119.3235,58.4166,11.643,97.1291,29.1533,144.134,66.3906,26.1863,82.239,53.0647,90.2036,54.9061,36.1639,27.2138
3,102.512,70.3196,24.3435,,41.2737,26.6584,76.073,59.4228,96.5601,43.4032,22.5893,119.3607,93.1539,14.7358,71.2102,84.9856,59.3465,57.5353,54.9782,42.9858,50.7443,105.9331,52.3477,63.6036,33.6068,66.761,22.4233,217.4514,70.0933,62.7504,53.0458,68.4051,47.8574,32.312,94.9509,78.0925,87.528,17.7792,32.4595,70.276,66.0477,47.6219,94.3051,51.3465,28.2976,54.4178,31.3027,35.4101,90.7594,60.1771,118.8545,57.5182,11.6724,96.4911,29.4586,145.1269,66.7792,26.4151,82.5227,53.2918,89.6133,54.2905,36.3583,27.3694
4,103.3052,70.3235,24.4009,,41.7761,26.8926,76.0298,59.1401,97.1852,43.3695,22.5763,119.3937,93.5667,14.5948,71.3986,79.1526,60.0104,58.1135,54.5023,42.9154,50.9978,106.0665,52.9306,63.4703,34.3155,66.7208,22.6349,222.2498,70.4106,62.9646,53.1291,67.3818,48.1419,32.3753,95.7596,78.1829,87.317,19.9832,33.4185,71.2497,66.2959,47.9383,95.073,52.0157,28.571,54.3892,31.2734,35.3173,91.3315,59.7334,119.7039,57.6066,11.5571,96.3806,29.2607,144.6387,67.1835,25.9444,82.5157,54.5365,89.8852,54.1261,36.3932,27.9352
5,102.8679,70.8569,24.6075,,41.9191,27.2155,74.9861,58.7488,96.5936,43.4411,22.839,118.9755,91.6706,14.6687,71.5066,79.2337,61.0666,58.0296,54.0067,42.6784,51.8556,106.0838,53.4392,64.325,34.8907,66.2198,23.3163,224.9379,70.1807,63.4342,53.2095,66.9177,48.6066,32.8525,97.1022,77.9343,86.8426,20.4277,33.6819,71.9494,65.8731,47.8745,96.1021,52.693,29.1046,54.0177,31.2618,35.2512,91.6263,59.1688,119.8867,57.8084,11.5857,96.4161,29.4843,144.5984,67.5881,26.1723,82.5378,55.1352,89.3552,54.4528,36.6759,28.175
6,102.7776,71.2827,24.3432,,41.9187,27.7139,74.9651,58.3015,96.245,43.5061,22.8706,118.6047,90.8899,14.2531,71.7237,80.9085,61.1613,58.2807,54.2538,42.477,52.3167,106.4173,53.3672,64.485,34.3336,66.2768,23.3021,225.8214,70.0835,63.6172,53.2347,67.371,48.9069,33.2112,97.2345,77.871,86.9405,20.1765,32.7166,71.7642,65.8664,48.0707,96.4708,52.9702,29.1477,53.8851,31.315,35.144,90.4055,59.1627,119.8152,57.8761,11.4686,96.4477,29.3876,143.4779,67.7952,25.6202,82.6177,55.751,89.6629,54.3544,36.8484,28.4506
7,103.1266,71.3897,24.5953,,41.8841,27.8688,74.9884,57.8655,95.8716,44.3569,22.835,119.1043,90.0576,14.4241,72.4686,81.4509,61.0852,58.3819,55.013,42.4514,52.924,106.7359,53.2925,64.4602,34.0585,66.2541,23.3627,229.6898,70.1335,63.4767,53.093,67.4933,49.0989,33.5388,97.7292,77.5424,87.4597,20.0505,32.4874,71.4716,65.5715,48.087,96.0937,52.8819,28.7907,53.8024,31.39,35.5124,90.9889,59.0199,119.985,57.8096,11.6258,96.9254,29.4574,143.5926,68.3657,26.3774,83.498,55.3892,90.4496,54.8355,36.8205,28.2633
8,104.102,72.4709,24.9211,,42.1717,27.448,74.576,58.0827,95.5806,44.5216,22.9392,118.6347,90.2408,14.3714,72.6835,82.7568,61.356,58.4525,55.7012,42.4151,52.9724,107.0252,53.2004,65.6973,33.8854,66.7448,23.6563,229.2117,70.586,64.1821,53.3838,67.2382,49.9953,33.7218,98.4233,77.4937,87.8559,19.9631,32.8871,72.636,66.0776,48.4228,97.1184,52.8539,28.8995,54.154,31.2252,36.4709,90.9811,59.0872,121.3927,57.6542,11.6548,96.9323,29.5056,143.167,68.4694,26.6118,84.3806,55.3261,91.1126,54.8536,36.5839,28.588
9,103.7787,73.0681,24.8784,,41.9586,26.6786,75.5233,58.6066,93.8693,44.4787,22.933,116.2732,89.0572,13.9756,72.5467,82.6632,61.1704,58.185,54.5667,42.1115,52.588,106.2285,52.9777,64.9643,33.236,66.827,23.5268,227.9814,70.8501,63.6058,53.3946,66.9054,49.8879,33.8374,97.9662,77.3387,88.1369,19.1547,32.5446,72.6932,66.5449,47.6039,95.8574,51.9857,28.4003,54.3677,31.2275,35.8806,90.489,59.1179,121.8042,56.8238,11.507,96.5811,29.4417,141.4902,67.7204,26.1941,84.2691,54.902,90.652,54.661,36.5987,28.2228
