,ACN,ATVI,ADBE,AKAM,ADS,GOOGL,APH,ADI,AAPL,AMAT,ADSK,ADP,AVGO,CA,CSCO,CTXS,CTSH,GLW,EBAY,EA,FFIV,FB,FIS,FSLR,FISV,FLIR,GPN,HRS,INTC,IBM,INTU,JNPR,KLAC,LRCX,MA,MCHP,MU,MSFT,MSI,NTAP,NFLX,NVDA,PAYX,QCOM,RHT,CRM,STX,SWKS,SYMC,TEL,TDC,TXN,TSS,VRSN,V,WDC,WU,XRX,XLNX
0,72.4622,11.9229,38.4492,39.9435,155.1111,384.623,34.6796,44.6321,65.626,13.3341,38.7543,60.5727,35.5073,24.8667,21.1351,72.9244,38.3919,12.0693,56.1293,16.9317,107.0803,29.0074,37.3948,30.5228,40.1513,23.6927,24.818,46.4556,21.0059,200.6235,62.734,22.3362,56.8984,42.5216,52.2076,34.2824,7.9343,27.3893,59.3705,36.0173,25.9783,12.3007,33.2698,66.9545,55.7167,42.8559,34.4145,24.0255,22.2054,39.862,66.831,33.5246,23.2973,45.0623,40.001,47.4603,14.7251,31.9794,36.8415
1,72.4146,11.9903,37.943,34.6832,153.6439,386.2058,34.6043,44.3333,65.8571,13.2404,38.5232,60.2382,34.9382,24.6916,21.1015,71.8825,38.7169,12.2393,55.821,16.8838,105.2974,28.6027,37.1051,31.0836,39.9728,25.1984,24.7526,46.51,20.8078,199.5332,62.386,22.2738,56.4944,42.2908,51.9194,34.0801,7.7652,27.2204,59.7552,35.475,26.0659,12.2605,33.109,66.5071,54.8897,42.5224,34.1955,23.7296,22.1787,39.8741,61.6468,33.1881,23.1064,44.9301,39.424,47.1134,14.6325,31.8364,36.8516
2,73.3316,13.3003,39.1303,35.244,154.038,392.4204,35.2452,45.5483,67.8573,13.5914,38.8746,60.8566,35.3123,25.025,21.2192,72.9304,39.3698,12.2497,56.7549,17.3219,105.3193,28.8563,37.4907,30.3696,40.2279,26.4564,24.9448,46.6894,21.0198,201.5001,61.3416,21.9208,56.5637,42.7188,52.275,36.4828,7.7234,27.5607,60.2601,35.8592,25.9596,12.3617,33.3582,67.0924,55.1583,42.535,35.8296,24.0886,22.5453,40.4487,62.5384,34.0844,23.189,45.3562,39.4734,48.6982,14.7064,31.9052,37.4531
3,72.8689,13.5364,38.6955,35.1899,153.526,389.8439,35.2202,45.9569,68.6973,13.6632,38.8936,60.4398,35.4613,24.8759,21.2376,72.3466,38.7308,12.4106,56.1202,17.4017,103.9587,28.2011,37.5829,31.944,40.4233,26.4759,24.9539,46.566,21.0109,200.4326,61.4105,21.8034,56.5253,42.67,52.2053,36.3335,7.8752,27.7353,60.8319,35.4298,25.4367,12.507,33.2922,67.0725,54.4581,42.6143,35.0878,24.1253,22.6153,40.4711,62.4764,33.8018,23.0032,45.4829,39.1694,48.5883,14.3954,31.9594,37.4231
4,73.2494,13.5383,38.9158,36.23,152.4986,392.1557,35.248,46.2068,67.5763,13.6098,39.0372,60.3927,35.1154,24.8633,21.0253,73.3957,38.3741,12.5648,56.8597,17.4662,102.7139,27.6031,36.5009,33.3955,40.2876,26.6915,24.808,46.734,21.15,200.135,61.4497,21.6381,56.5558,42.6934,51.9759,36.474,7.9305,27.8836,60.8363,35.6169,25.6306,12.4694,33.3863,65.9099,54.9473,43.0426,34.8717,24.185,22.7659,40.5285,61.6588,33.546,23.032,45.5511,39.2907,48.2605,14.2623,31.8897,37.5459
5,73.472,13.5837,38.8821,37.0167,152.0964,391.5707,35.1048,46.2593,66.8816,13.7449,38.7421,60.323,35.1689,24.9914,20.9988,72.2341,38.1497,12.7451,56.9856,17.2264,101.6474,27.8995,37.1923,32.8498,40.2531,26.9592,24.8051,47.0318,21.2257,200.224,61.313,21.5585,56.5447,42.9434,51.8523,36.6916,7.9252,28.0083,61.017,35.6845,26.2823,12.4613,33.517,65.5046,54.4461,42.8899,34.8621,24.264,22.5744,40.8397,61.2358,33.7091,23.0094,45.6034,38.7758,48.5879,14.2718,31.9847,37.7007
6,73.3009,13.9248,38.6261,37.5259,152.2682,392.5655,35.0836,46.3795,66.8217,13.8355,38.5996,60.5886,35.3133,25.0797,20.8455,72.1009,38.0967,12.8968,56.879,17.1508,101.1062,28.4185,36.8675,34.3099,40.1713,26.768,24.9616,47.5679,21.2226,199.8826,60.8986,21.5731,55.9275,42.9403,52.143,37.2161,7.9832,27.9969,60.8756,35.2849,26.7878,12.4759,33.6056,65.4086,54.0933,43.5455,35.0023,24.7837,22.5962,40.9029,61.9548,33.6018,23.0056,45.5818,38.9207,48.8829,14.2411,32.0731,38.2203
7,73.7691,14.325,38.5661,38.492,155.4648,395.6612,35.2081,46.1711,66.3402,13.7528,39.0134,61.1491,35.282,25.103,20.9578,72.6285,38.3505,12.8574,56.8114,16.9588,101.0882,28.3673,36.6019,34.5227,40.2829,26.7438,25.0683,47.7036,21.1658,200.5156,61.6487,21.7061,55.7715,42.5745,52.1444,37.0621,8.0538,28.0085,61.4621,36.196,26.9597,12.6157,33.87,65.4526,54.0736,43.5916,34.5723,24.654,22.6573,41.0157,62.2928,33.649,23.224,46.199,39.3262,48.6093,14.3472,31.9198,38.1417
8,74.9125,14.4613,38.8516,38.5403,155.3856,401.5799,35.35,46.7849,65.4266,13.8304,38.971,61.3719,35.4005,24.9836,21.2855,73.2658,38.9489,12.8994,56.5887,17.5367,103.0624,28.7775,36.7773,36.1569,40.5356,26.8976,25.2865,47.7504,21.1199,200.7445,62.2585,22.0365,56.3547,42.8102,52.3337,37.0148,8.0529,27.996,61.7596,36.4581,27.741,12.5926,33.8754,65.5624,53.9435,43.7397,34.2363,24.6359,22.5427,41.2365,62.8263,33.8904,23.3545,46.1246,39.3569,48.7255,14.2635,31.9732,39.1156
9,75.3865,14.3517,38.9547,37.9874,153.5513,399.8225,35.1291,46.2535,64.5551,13.6958,39.0606,61.4519,35.2425,24.8868,21.3451,72.7042,38.7665,12.7023,56.1302,17.5766,104.087,28.609,37.2525,35.9593,40.6056,26.7943,25.2858,47.6235,20.8586,200.1358,61.7792,21.9384,55.4719,42.3495,51.7334,36.7864,8.0267,27.9469,61.527,35.7981,27.478,12.5886,33.8605,65.5191,54.1374,43.2078,33.0642,24.0668,22.7044,41.1529,62.4764,33.4511,22.2199,45.85,39.035,47.4213,13.9976,31.8596,38.6866
