,APD,ALB,AVY,BLL,CF,EMN,ECL,FMC,FCX,IP,IFF,LYB,MLM,MON,NEM,NUE,PPG,PX,SEE,SHW,MOS,VMC
0,87.3385,62.1372,38.9779,22.6217,45.2909,72.5752,74.0954,61.8471,36.0132,42.5359,71.1004,60.9429,98.6484,101.6232,44.815,46.9363,68.8813,110.6157,19.4776,162.6812,61.3738,56.2818
1,87.2269,61.5395,38.9988,22.6729,45.128,72.2484,73.2431,60.0214,35.7517,42.083,71.9948,60.9635,97.2839,100.4152,45.341,46.2873,68.8371,110.2811,19.2818,162.2799,61.2086,55.411
2,88.2239,62.5755,39.2564,22.6746,45.1407,73.0537,74.1863,59.4969,35.6999,42.4767,73.4608,61.6474,98.1869,100.8732,44.9774,46.7007,69.2423,111.3394,19.2235,163.6108,61.3635,55.9974
3,88.4399,62.748,39.2063,22.5055,45.1373,73.8755,74.1186,59.3786,35.273,42.2247,73.3846,60.7581,98.3059,101.8427,44.3867,46.857,69.4888,111.1474,19.1087,163.8372,61.0554,55.956
4,88.4894,62.6681,39.4723,22.5413,44.4172,73.7294,74.2779,58.4366,35.5761,42.1488,73.4425,60.4745,98.2776,101.56,45.0412,47.267,68.1822,110.8059,18.961,164.0716,61.3552,56.2338
5,88.663,66.0466,39.568,22.5358,43.5735,74.7392,74.4315,58.6574,35.6908,41.7298,73.9229,62.4249,99.3524,102.4923,44.9853,47.329,69.3751,111.4869,18.9874,165.0517,61.9734,56.056
6,88.6774,65.5167,39.988,22.5886,43.6041,74.0961,74.7958,58.7826,35.5532,41.7718,73.8207,61.4986,99.982,102.1219,44.6338,48.0587,69.431,111.3019,18.9695,164.0925,61.8325,54.9237
7,88.3591,65.3493,39.7447,22.7386,43.1681,73.8073,75.3843,59.5107,35.086,42.1545,73.847,60.5033,101.1371,102.7947,43.2583,48.1055,69.6783,110.2221,19.3014,166.4544,61.9607,54.9812
8,88.7649,65.8962,39.9015,22.6432,43.5694,73.5156,75.3348,59.71,34.4743,42.0387,73.82,60.8313,101.8381,102.3874,42.9486,47.8931,68.141,110.6035,21.8018,163.9826,61.729,54.8563
9,87.93,64.6216,39.8765,22.4393,41.7779,71.1498,75.3397,58.4259,32.6935,40.8234,72.9192,60.6949,99.4219,99.3855,41.137,46.4855,66.8266,110.6125,20.9014,160.803,59.3078,53.2449
10,86.1783,63.7884,39.2755,22.0739,40.4685,68.536,73.9921,57.2687,32.186,41.0401,71.8925,57.6374,97.9077,98.6878,40.9874,44.8139,64.7656,109.8782,20.473,156.4293,57.3198,51.834
11,85.788,64.9641,39.4943,22.1322,40.2489,70.8277,74.6358,58.4072,32.1328,42.7397,72.1655,58.7999,98.1731,99.0846,41.0535,45.1664,65.769,110.7917,21.0869,156.6054,56.9421,52.0342
12,85.3558,63.9377,39.3175,22.0263,39.9822,69.4115,73.8547,58.2658,31.9585,42.717,71.5591,57.9607,96.1545,99.2211,41.1896,44.3969,66.0714,110.3339,21.3533,156.8185,56.9428,50.541
13,84.4276,63.7264,39.4773,21.8215,38.6257,68.1865,74.9085,58.3088,31.7093,42.5008,71.43,56.5966,95.3335,98.8525,41.2826,43.6924,66.0734,110.6096,21.3524,155.6761,56.2686,50.2873
14,85.3182,65.0839,40.56,22.0515,39.7152,70.6489,77.2678,59.5062,32.1968,43.8294,72.6364,57.8335,96.1985,100.1779,40.7884,44.7914,67.1952,111.9325,21.7804,160.1008,57.8021,51.0605
15,86.3652,65.3035,40.9765,22.2441,40.165,70.2053,76.954,60.0272,31.9221,44.3026,73.0467,58.8451,97.3867,101.099,40.4471,45.2619,67.6025,113.0897,22.128,162.3052,58.7013,51.0921
16,86.139,64.1739,40.7668,22.0778,40.0944,69.231,76.6232,59.7246,31.4524,44.2971,73.0407,59.3622,98.0681,101.3168,39.9045,44.5351,67.3133,113.3168,22.2349,162.3813,58.4289,51.6382
17,86.1352,63.7146,40.8906,21.9443,39.9788,69.3617,76.8915,59.91,31.1497,44.2259,73.2611,59.935,98.7876,101.1734,38.9526,44.6945,67.5764,112.6951,22.379,164.0156,58.011,51.935
18,87.1179,63.6668,41.7522,22.1159,40.3926,71.0917,77.4752,60.6985,31.827,45.1478,73.4371,61.0644,101.4464,102.8077,38.9087,45.684,68.1934,113.742,22.7245,165.3662,58.6664,53.6785
19,86.9148,64.67,41.8166,22.1782,40.5292,71.8971,77.6778,61.013,32.7337,45.9884,73.7799,62.132,102.0375,102.2261,39.5608,46.3927,67.759,113.3315,22.5686,164.3295,58.213,53.6394
20,87.666,64.3886,41.8177,22.2663,40.4823,71.8886,77.9676,61.1268,33.0316,46.1074,73.6345,62.2755,103.0802,103.0187,40.2472,46.839,67.703,112.9133,22.3438,164.6548,59.1857,53.8124
21,88.87,65.2297,42.0974,22.3806,41.0772,72.2888,78.1234,61.047,33.2567,46.6614,73.9423,63.4054,104.7364,103.0636,39.4922,47.5475,68.353,113.5353,22.5706,165.2734,59.8658,54.603
22,88.6429,65.1565,42.3941,22.476,41.4826,72.3857,78.659,61.2877,33.1952,46.9085,74.8768,63.318,104.5004,103.6863,38.9542,47.3447,68.7383,113.2128,22.8616,167.0952,61.3843,54.5464
23,88.8841,65.1686,42.7481,22.5218,41.3221,73.1121,79.2221,61.2903,33.6921,46.579,74.7955,63.9399,104.2322,103.4897,39.7354,47.4338,69.3779,113.0801,22.7986,167.9916,61.9947,54.4537
24,88.7831,64.9255,43.0283,22.7751,41.0861,72.6628,79.8314,61.0439,33.063,45.877,75.2924,63.6519,104.7224,103.9705,39.135,46.4392,70.3072,112.496,23.3811,168.742,61.8311,54.3737
25,89.5795,65.2616,43.4674,22.9285,40.6228,73.2461,79.903,61.1392,33.0939,45.8982,75.6238,64.7292,104.9682,104.0428,39.4441,46.0348,71.074,113.2775,23.953,169.255,62.016,54.9644
26,89.9859,63.6797,43.192,22.9969,40.7957,72.7915,79.6631,60.187,33.7718,45.6802,75.9274,64.3087,103.6425,104.1587,39.6537,46.3908,70.7391,113.345,24.4227,169.1967,62.5196,54.4967
27,88.8961,62.5218,43.2774,22.9408,40.3098,72.6684,78.8732,59.7088,33.4884,45.3703,75.6044,63.7281,104.2728,102.8641,40.2509,46.2951,70.3952,112.9452,24.1136,169.6149,61.8336,54.3775
28,88.2099,62.4644,43.0038,22.9583,39.4454,72.6591,78.9356,58.9936,32.9937,45.0881,75.3938,63.4384,103.4262,102.0633,40.3333,46.1076,70.3814,113.2026,23.9542,169.342,61.4148,53.3422
29,88.7105,62.3864,43.1068,23.1186,39.2628,73.2576,79.4123,59.1554,33.2,45.5146,76.5278,65.1032,103.4426,103.0982,40.346,46.5698,70.6084,113.7175,24.2022,171.5878,61.5154,53.7355
30,87.2755,61.8218,42.824,23.0265,38.9289,70.9354,78.8764,57.6552,33.0554,45.1193,76.1137,64.8948,102.729,101.586,41.374,46.6727,69.1605,111.9232,23.7896,170.0805,60.3914,52.5921
31,87.5814,61.3614,42.9057,22.8797,38.6295,70.0779,79.4777,57.4312,33.0377,45.2173,75.4669,64.5008,102.8304,101.2591,41.4609,46.1769,68.1751,111.5781,23.6199,168.6083,59.8849,51.4159
32,87.4769,61.8157,42.956,23.0376,38.364,69.4333,79.9156,56.7602,32.6423,45.0368,75.3534,63.7974,102.1905,99.8919,41.2862,45.9527,67.0258,112.0481,23.7526,168.4272,59.3985,51.7756
33,87.7539,62.0035,42.9865,23.151,38.407,69.3482,79.032,56.9078,32.6698,45.5343,75.5373,63.6231,101.7122,102.9193,40.9099,45.7596,67.2853,112.1519,24.0844,169.3288,58.8149,51.381
34,86.1493,61.8308,42.7022,23.5005,38.3171,68.6246,78.3553,56.5515,33.1159,45.4831,75.254,63.0225,101.625,105.0672,41.6612,45.7991,66.5363,111.127,24.0845,168.7133,58.4398,50.983
35,86.9261,62.2541,42.8837,23.7396,38.2005,69.7445,79.8453,56.8088,33.1299,46.4295,76.3556,63.4045,101.7515,105.2929,41.7505,46.1611,66.7924,111.5687,24.0935,168.8755,59.5624,51.1664
