,day,y
0,0,7
1,1,7
2,2,7
3,3,7
4,4,7
5,5,7
6,6,10
7,7,10
8,8,10
9,9,10
10,10,3
11,11,6
12,12,6
13,13,6
14,14,6
15,15,6
16,16,9
17,17,9
18,18,10
19,19,10
20,20,10
21,21,10
22,22,10
23,23,7
24,24,7
25,25,7
26,26,7
27,27,1
28,28,10
29,29,10
30,30,10
31,31,8
32,32,10
33,33,10
34,34,10
35,35,10
36,36,10
37,37,10
38,38,10
39,39,10
40,40,10
41,41,10
42,42,10
43,43,10
44,44,10
45,45,10
46,46,6
47,47,10
48,48,10
49,49,3
50,50,9
51,51,9
52,52,9
53,53,6
54,54,1
55,55,1
56,56,1
57,57,1
58,58,3
59,59,3
60,60,10
61,61,3
62,62,3
63,63,3
64,64,10
65,65,10
66,66,6
67,67,9
68,68,9
69,69,9
70,70,9
71,71,10
72,72,10
73,73,10
74,74,5
75,75,2
76,76,10
77,77,10
78,78,10
79,79,10
80,80,10
81,81,10
82,82,3
83,83,10
84,84,10
85,85,10
86,86,10
87,87,10
88,88,10
89,89,10
90,90,10
91,91,10
92,92,10
93,93,8
94,94,3
95,95,3
96,96,3
97,97,3
98,98,3
99,99,3
100,100,8
101,101,3
102,102,8
103,103,8
104,104,8
105,105,1
106,106,1
107,107,10
108,108,10
109,109,10
110,110,10
111,111,10
112,112,10
113,113,10
114,114,10
115,115,10
116,116,10
117,117,10
118,118,10
119,119,10
120,120,10
121,121,10
122,122,10
123,123,10
124,124,10
125,125,10
126,126,10
127,127,10
128,128,10
129,129,10
130,130,10
131,131,9
132,132,10
133,133,10
134,134,9
135,135,9
136,136,9
137,137,9
138,138,9
139,139,1
140,140,1
141,141,1
142,142,1
143,143,1
144,144,0
145,145,0
146,146,8
147,147,8
148,148,10
149,149,10
150,150,10
151,151,3
152,152,3
153,153,3
154,154,3
155,155,3
156,156,10
157,157,10
158,158,10
159,159,10
160,160,10
161,161,10
162,162,10
163,163,10
164,164,10
165,165,9
166,166,8
167,167,8
168,168,9
169,169,3
170,170,3
171,171,3
172,172,3
173,173,3
174,174,3
175,175,3
176,176,3
177,177,3
178,178,10
179,179,10
180,180,10
181,181,10
182,182,10
183,183,10
184,184,10
185,185,10
186,186,3
187,187,3
188,188,10
189,189,10
190,190,10
191,191,3
192,192,1
193,193,1
194,194,1
195,195,1
196,196,1
197,197,1
198,198,1
199,199,1
200,200,1
201,201,1
202,202,10
203,203,10
204,204,10
205,205,10
206,206,10
207,207,10
208,208,10
209,209,10
210,210,10
211,211,10
212,212,2
213,213,0
214,214,0
215,215,0
216,216,0
217,217,0
218,218,1
219,219,6
220,220,10
221,221,10
222,222,10
223,223,1
224,224,1
225,225,1
226,226,1
227,227,1
228,228,1
229,229,1
230,230,1
231,231,1
232,232,1
233,233,10
234,234,10
235,235,10
236,236,10
237,237,10
238,238,4
239,239,4
240,240,10
241,241,4
242,242,8
243,243,8
244,244,1
245,245,8
246,246,8
247,247,3
248,248,3
249,249,3
250,250,3
251,251,3
252,252,1
253,253,1
254,254,1
255,255,3
256,256,3
257,257,3
258,258,10
259,259,3
260,260,3
261,261,3
262,262,3
263,263,6
264,264,6
265,265,10
266,266,10
267,267,10
268,268,10
269,269,10
270,270,10
271,271,10
272,272,10
273,273,10
274,274,10
275,275,10
276,276,10
277,277,10
278,278,10
279,279,10
280,280,10
281,281,10
282,282,3
283,283,10
284,284,10
285,285,10
286,286,10
287,287,10
288,288,10
289,289,10
290,290,10
291,291,10
292,292,10
293,293,9
294,294,9
295,295,9
296,296,9
297,297,9
298,298,9
299,299,10
300,300,10
301,301,8
302,302,8
303,303,8
304,304,8
305,305,10
306,306,10
307,307,10
308,308,10
309,309,10
310,310,10
311,311,10
312,312,10
313,313,10
314,314,1
315,315,1
316,316,1
317,317,1
318,318,10
319,319,3
320,320,3
321,321,3
322,322,3
323,323,3
324,324,1
325,325,10
326,326,0
327,327,6
328,328,8
329,329,9
330,330,9
331,331,9
332,332,9
333,333,9
334,334,9
335,335,9
336,336,9
337,337,9
338,338,9
339,339,10
340,340,9
341,341,10
342,342,1
343,343,1
344,344,1
345,345,1
346,346,10
347,347,10
348,348,10
349,349,10
350,350,10
351,351,10
352,352,10
353,353,10
354,354,10
355,355,10
356,356,10
357,357,10
358,358,10
359,359,10
360,360,10
361,361,10
362,362,10
363,363,10
364,364,10
365,365,10
366,366,10
367,367,10
368,368,10
369,369,10
370,370,10
371,371,7
372,372,7
373,373,7
374,374,1
375,375,0
376,376,1
377,377,0
378,378,0
379,379,1
380,380,1
381,381,1
382,382,1
383,383,10
384,384,10
385,385,10
