,day,y
0,0,Consumer Staples
1,1,Consumer Staples
2,2,Consumer Staples
3,3,Consumer Staples
4,4,Consumer Staples
5,5,Consumer Staples
6,6,Telecommunications Services
7,7,Telecommunications Services
8,8,Telecommunications Services
9,9,Telecommunications Services
10,10,Consumer Discretionary
11,11,Materials
12,12,Materials
13,13,Materials
14,14,Materials
15,15,Materials
16,16,Energy
17,17,Energy
18,18,Telecommunications Services
19,19,Telecommunications Services
20,20,Telecommunications Services
21,21,Telecommunications Services
22,22,Telecommunications Services
23,23,Consumer Staples
24,24,Consumer Staples
25,25,Consumer Staples
26,26,Consumer Staples
27,27,Health Care
28,28,Telecommunications Services
29,29,Telecommunications Services
30,30,Telecommunications Services
31,31,Real Estate
32,32,Telecommunications Services
33,33,Telecommunications Services
34,34,Telecommunications Services
35,35,Telecommunications Services
36,36,Telecommunications Services
37,37,Telecommunications Services
38,38,Telecommunications Services
39,39,Telecommunications Services
40,40,Telecommunications Services
41,41,Telecommunications Services
42,42,Telecommunications Services
43,43,Telecommunications Services
44,44,Telecommunications Services
45,45,Telecommunications Services
46,46,Materials
47,47,Telecommunications Services
48,48,Telecommunications Services
49,49,Consumer Discretionary
50,50,Energy
51,51,Energy
52,52,Energy
53,53,Materials
54,54,Health Care
55,55,Health Care
56,56,Health Care
57,57,Health Care
58,58,Consumer Discretionary
59,59,Consumer Discretionary
60,60,Telecommunications Services
61,61,Consumer Discretionary
62,62,Consumer Discretionary
63,63,Consumer Discretionary
64,64,Telecommunications Services
65,65,Telecommunications Services
66,66,Materials
67,67,Energy
68,68,Energy
69,69,Energy
70,70,Energy
71,71,Telecommunications Services
72,72,Telecommunications Services
73,73,Telecommunications Services
74,74,Financials
75,75,Information Technology
76,76,Telecommunications Services
77,77,Telecommunications Services
78,78,Telecommunications Services
79,79,Telecommunications Services
80,80,Telecommunications Services
81,81,Telecommunications Services
82,82,Consumer Discretionary
83,83,Telecommunications Services
84,84,Telecommunications Services
85,85,Telecommunications Services
86,86,Telecommunications Services
87,87,Telecommunications Services
88,88,Telecommunications Services
89,89,Telecommunications Services
90,90,Telecommunications Services
91,91,Telecommunications Services
92,92,Telecommunications Services
93,93,Real Estate
94,94,Consumer Discretionary
95,95,Consumer Discretionary
96,96,Consumer Discretionary
97,97,Consumer Discretionary
98,98,Consumer Discretionary
99,99,Consumer Discretionary
100,100,Real Estate
101,101,Consumer Discretionary
102,102,Real Estate
103,103,Real Estate
104,104,Real Estate
105,105,Health Care
106,106,Health Care
107,107,Telecommunications Services
