,T,CTL,FTR,VZ
0,35.3759,40.6415,67.4977,44.7046
1,35.2593,41.0532,68.0284,44.4266
2,35.3252,41.3184,68.9633,44.3317
3,35.2091,41.4248,68.7508,44.2772
4,35.5154,41.7688,69.0463,44.417
5,35.5064,39.2699,68.6363,44.4213
6,35.2227,32.9534,63.345,44.3327
7,35.3325,32.7655,61.3939,44.3739
8,35.5442,34.4427,62.4101,44.5148
9,35.6666,34.2472,61.2424,44.9091
10,35.3549,34.231,59.8459,44.9782
11,35.5301,34.6388,60.5026,45.1071
12,35.6159,34.4221,61.0113,45.7521
13,35.5154,34.1796,61.0793,45.9976
14,35.7421,34.2794,61.4705,46.2255
15,36.0442,34.7828,61.8192,46.6298
16,35.9306,34.859,62.4621,46.5195
17,36.1609,35.0434,63.0096,46.9631
18,36.5964,35.3206,62.544,47.5335
19,36.47,35.633,60.3853,47.384
20,36.3969,34.4575,61.0558,47.4385
21,36.6509,34.3533,60.9192,47.8708
22,36.5483,34.3879,60.765,47.7039
23,36.7071,34.5874,61.7374,48.1543
24,36.6389,34.7157,62.1009,48.1179
25,36.7621,34.7697,61.9108,48.4582
26,36.4321,34.3291,61.1073,48.004
27,36.2236,34.3587,60.9076,48.6507
28,36.1789,34.2266,59.8378,48.8165
29,36.2141,34.3569,59.087,48.7744
30,36.1444,34.4698,59.0904,48.6812
31,36.4027,35.0439,59.6087,48.9956
32,36.4309,35.1079,58.528,49.1789
33,36.5682,35.1739,58.6981,49.4555
34,36.6396,35.1062,57.7117,49.0561
35,36.687,34.9976,57.5727,49.0789
36,37.1109,34.8636,58.2476,49.1724
37,37.542,35.1224,58.7848,49.5572
38,37.3626,35.3242,59.7262,49.0302
39,37.8569,35.9434,60.9902,49.2635
40,37.9607,35.895,61.204,49.5046
41,37.616,36.0329,60.8139,49.1812
42,37.7337,36.2741,62.1431,49.3627
43,38.1339,36.9514,63.1662,49.7381
44,38.6002,37.3478,63.2763,50.3342
45,38.5626,37.0554,63.0207,50.6995
46,38.1963,36.7823,61.7501,50.7232
47,38.0398,36.976,61.3696,50.6512
48,37.7983,36.68,60.2344,49.7636
49,37.8504,37.021,60.1204,51.2211
50,38.1492,37.1634,60.241,51.8539
51,38.6238,37.2364,60.5319,52.0705
52,38.8624,37.7375,60.4412,52.172
53,36.9425,37.2135,60.3854,51.5975
54,37.268,37.5789,61.2705,52.9267
55,37.0555,37.344,61.3758,53.4347
56,37.2179,37.3837,61.763,53.4139
57,37.4637,37.5039,61.7735,53.8993
58,37.7376,37.324,62.0099,52.8514
59,37.5905,37.0443,60.6835,52.4641
60,37.4154,37.1034,60.9424,52.6709
61,37.1957,37.1129,61.3737,52.2394
62,37.3717,36.9885,60.971,52.6848
63,37.6919,37.4063,61.4836,52.9597
64,37.3939,37.7599,61.8604,52.8054
65,37.3256,37.6101,62.9262,52.75
66,37.0617,37.6793,62.4899,52.6146
67,37.0237,37.7154,63.2182,52.9198
68,37.5632,37.897,64.9852,53.2989
69,37.4547,37.5055,65.6289,53.2534
70,37.3167,37.6335,65.8521,53.2985
71,37.2755,37.6711,64.8335,53.0319
72,36.9533,37.2929,65.0143,52.191
73,36.7832,37.1912,64.4087,51.7376
74,36.6237,37.3877,64.7286,51.6589
75,36.6396,37.2643,65.9301,51.3636
76,36.5336,37.2246,64.9382,51.2352
77,35.8031,36.0982,64.2286,49.5427
78,35.7151,35.3411,64.0222,49.4181
79,35.2329,34.5894,63.2014,49.1283
80,34.9225,34.3853,62.3369,48.3435
81,35.5588,34.7425,62.8605,48.8978
82,35.445,34.9301,60.3722,48.4343
83,35.5634,35.249,61.4495,49.4063
84,35.5409,35.3892,62.0176,50.0697
85,35.9371,35.5714,61.7903,50.4589
86,35.9264,35.6322,61.0862,50.297
87,35.8024,35.5235,61.3557,50.0156
88,36.1755,35.8178,62.8735,50.3573
89,36.0626,36.0836,63.4368,50.9937
90,35.8317,36.0375,61.84,50.8882
91,36.1928,36.2088,60.7877,51.4414
92,35.6546,35.7356,60.6026,50.6735
93,34.7127,34.3965,58.7214,49.2561
94,34.468,34.3151,58.4732,49.514
95,34.4676,34.087,57.6498,49.1203
96,34.9976,34.6792,59.091,50.3418
97,35.306,34.8659,58.9407,50.5716
98,35.7173,35.3654,59.952,51.1855
99,35.5027,35.5073,60.6844,50.6409
100,35.3754,35.2625,60.6125,50.3614
101,35.5042,35.3859,60.46,50.6735
102,35.4888,35.2463,59.4743,50.9955
103,35.6399,35.2742,59.3891,50.9132
104,35.5593,35.3472,60.0174,51.1468
105,35.6425,35.3692,60.1887,51.0603
106,35.4762,35.3925,60.2691,50.72
107,35.8624,35.9472,60.517,51.0377
108,35.7072,36.1469,60.3436,50.4714
109,35.5372,36.1416,60.7004,49.8532
110,35.7705,36.1847,61.3325,50.1389
111,36.0759,36.2633,62.0672,50.8379
112,35.7632,35.8189,62.8279,49.7677
113,35.714,35.9608,63.6719,49.9642
114,35.6957,35.7966,64.1385,50.0773
115,35.7436,35.9114,63.8456,50.3144
116,35.1889,35.8379,63.6998,50.2915
117,35.4271,35.8191,63.9476,50.5943
118,35.5109,35.9285,63.8946,50.8513
119,35.8819,36.1435,63.8698,51.4406
120,35.5979,35.7798,64.2848,50.7058
121,35.3836,35.9619,65.375,49.8157
122,35.6195,36.1952,65.8114,49.9483
123,35.691,36.1211,66.6793,50.2144
124,35.6807,36.0634,67.9272,50.2006
125,35.5165,36.085,68.3268,50.0474
126,35.5939,36.244,68.6097,49.9859
127,35.3187,34.5795,67.9891,49.6459
128,34.9141,33.9356,69.1517,49.3411
129,34.8736,34.1097,68.7113,49.5821
130,34.7188,33.9242,70.3437,49.246
131,34.6648,33.7602,70.8867,48.9447
132,34.4646,33.4681,70.3581,48.6742
133,34.1881,33.0556,69.5362,47.7889
134,33.808,32.6905,67.6374,47.6663
135,33.9629,32.7364,67.0892,47.9377
136,33.5927,32.4804,68.1839,47.5061
137,33.5414,32.5589,67.8529,47.0383
138,33.9982,33.2389,68.1241,47.4244
139,34.0386,33.2377,68.32,47.2185
140,33.8174,33.0306,67.5198,46.7941
141,33.6738,32.8532,66.6488,46.6878
142,33.8296,33.1012,67.2731,48.2711
143,33.7523,33.0614,65.7292,47.419
144,33.5591,33.0197,65.916,45.0023
145,33.5605,32.3209,66.9972,46.6047
146,33.4263,32.2457,65.6843,46.687
147,33.4023,31.9832,64.3076,46.3698
148,33.5069,32.0342,64.8863,45.9658
149,33.8283,32.3221,64.941,46.0625
150,34.0756,32.583,65.23,46.5553
151,34.3127,32.5623,65.9118,47.0153
152,34.4268,32.4698,65.4361,47.837
153,34.5186,32.3864,65.0602,48.2602
154,34.7273,32.4414,65.1859,48.4972
155,34.7283,32.3997,65.3739,48.403
156,34.8278,32.7637,64.9348,48.5387
157,34.4326,32.3466,63.7454,48.0128
158,34.0367,32.1436,63.958,47.7407
159,34.1239,32.2446,64.8734,47.3075
160,34.1425,32.1035,64.781,47.0769
161,34.2168,32.1089,64.7238,47.4513
162,33.7867,31.8351,64.2499,46.954
163,33.9778,31.4244,62.4584,46.828
164,34.1208,31.7549,64.5285,46.9277
165,33.8963,31.6425,64.0076,46.6799
166,33.7288,31.2528,64.1248,47.6939
167,33.7553,31.1619,64.1068,47.0748
168,34.0082,31.4233,64.2507,47.3149
169,33.3221,31.3833,63.5836,46.3082
170,33.096,30.9888,63.7028,44.1914
171,33.9169,33.062,64.6249,46.6045
172,34.1329,33.1148,65.625,46.952
173,33.9359,32.6614,65.7197,46.7909
174,33.89,32.6617,65.8327,46.563
175,34.0963,32.7616,66.228,47.0486
176,34.3284,33.152,66.6487,48.8084
177,34.6241,33.1006,67.0196,49.68
178,35.1488,32.9089,66.9694,50.4282
179,35.2469,33.2658,67.0823,50.972
180,35.1328,33.3865,66.6167,51.0634
181,34.705,33.2155,66.1947,50.6567
182,35.0483,33.2321,66.7281,50.5085
183,35.4698,33.4745,67.1738,50.4765
184,36.2381,33.9002,67.2154,51.0887
185,36.1976,33.6327,66.5849,50.7484
186,36.4563,33.8682,69.1473,50.9102
187,36.3549,33.7287,66.6301,50.7239
188,36.3446,33.7041,66.7917,50.8908
189,35.8905,33.5499,67.0188,50.3648
190,35.8671,33.7976,69.6697,50.5891
191,35.3009,31.8652,69.7594,50.5064
192,34.8571,31.1959,69.7239,49.8415
193,35.3035,31.5661,70.9993,50.3792
194,35.1208,31.4877,70.5974,50.1732
195,35.1508,31.4435,71.3216,49.7704
196,35.204,31.7881,72.1626,50.2786
197,35.3462,32.0281,73.3257,50.1602
198,35.5409,32.1309,73.5192,50.9547
199,35.7003,32.0337,74.1405,50.7707
200,35.8945,32.0383,75.0154,50.7655
