,AES,LNT,AEE,AEP,AWK,CNP,CMS,ED,D,DTE,DUK,EIX,ETR,EXC,FE,NEE,NI,NRG,PCG,PNW,PPL,PEG,SCG,SRE,SO,WEC,XEL
0,11.0201,23.0271,32.6255,44.395,38.3973,20.6284,25.5525,56.6877,54.17,63.7104,68.8389,47.7583,64.6448,30.7613,39.8413,71.8471,26.786,24.0556,42.3514,53.5223,30.1363,31.0237,46.9946,75.567,43.7539,39.5698,27.7166
1,11.0779,23.0812,32.7707,44.5251,38.9512,20.7739,25.6604,57.0501,54.279,64.0403,68.8616,47.7873,64.9518,31.6546,40.128,72.2048,26.8985,24.195,42.6928,53.5827,30.2728,31.4415,47.0019,75.7415,43.8682,39.8649,27.7701
2,11.0327,23.1737,32.576,44.4923,39.047,20.8474,25.6144,57.0626,54.1812,64.0213,68.962,47.748,64.3162,31.0561,40.1395,72.0752,26.8287,24.0635,42.7044,53.7576,30.2624,31.347,47.0759,75.8214,43.7789,40.0015,27.7944
3,11.1245,23.2552,32.7959,44.6205,39.0825,20.8849,25.6649,56.5729,54.3161,64.3877,69.1226,47.9489,64.5949,31.3848,40.0857,72.1218,26.9392,24.0911,42.7133,54.0784,30.3291,31.463,47.428,75.7344,44.0225,40.0944,27.9348
4,11.2588,23.3266,32.9265,44.7899,39.1652,20.9828,25.7032,56.4446,54.4187,64.2211,69.4558,47.8987,63.9177,31.8796,40.4545,72.3807,26.916,24.3481,42.6318,54.3751,30.4576,31.4242,47.6443,75.7852,44.0654,39.8018,27.9454
5,11.3833,23.2941,33.2489,44.8578,39.3613,20.8234,25.8369,56.65,54.6486,64.4248,68.7906,47.7193,63.7595,31.6411,40.722,72.5661,27.1274,24.1765,42.6082,54.6435,30.4601,31.5197,47.9029,76.167,44.1659,39.8213,27.9419
6,11.2708,23.4228,33.1104,44.6771,39.2059,20.5547,25.786,56.4606,54.4584,64.2356,68.2212,45.9753,62.0249,30.8919,40.5567,72.2362,26.9966,24.0122,42.5026,54.4101,30.4282,31.2429,47.7665,75.6763,43.9978,39.569,27.9141
7,11.1665,23.4904,33.1594,44.988,39.0522,20.4406,25.8129,56.558,54.9042,64.4349,67.9668,46.5199,61.4569,30.6835,40.4961,72.4534,26.8099,23.9492,42.6465,54.3623,30.4358,31.1716,47.9159,75.5385,44.0494,39.7179,28.0301
8,11.2892,23.8574,33.2814,45.4076,39.5299,20.5406,25.9776,56.9188,55.4383,64.6806,68.794,46.9299,61.7724,30.5696,41.0277,72.8416,27.1325,24.2685,43.0065,54.9008,30.4273,31.374,48.4224,76.4315,44.4226,40.122,28.3051
9,11.3659,23.9185,33.5942,45.6782,39.6192,20.7287,26.1129,57.2775,55.9877,64.8772,69.0146,46.8022,61.7566,30.3824,40.8493,72.9951,27.1788,24.2666,43.1038,55.0308,30.5493,31.4155,48.9393,76.4443,44.5806,40.2567,28.3051
